id,permit_permit_id,contractnumber,boroughid,permitcategory,currentstatus,duration_start_date,duration_end_date,reason_category,occupancy_name,submittercategory,organizationname,duration_days_mon_active,duration_days_mon_all_day_round,duration_days_tue_active,duration_days_tue_all_day_round,duration_days_wed_active,duration_days_wed_all_day_round,duration_days_thu_active,duration_days_thu_all_day_round,duration_days_fri_active,duration_days_fri_all_day_round,duration_days_sat_active,duration_days_sat_all_day_round,duration_days_sun_active,duration_days_sun_all_day_round,duration_days_sat_start_time,duration_days_sat_end_time,duration_days_mon_start_time,duration_days_mon_end_time,duration_days_tue_start_time,duration_days_tue_end_time,duration_days_wed_start_time,duration_days_wed_end_time,duration_days_thu_start_time,duration_days_thu_end_time,duration_days_fri_start_time,duration_days_fri_end_time,duration_days_sun_start_time,duration_days_sun_end_time,load_date,longitude,latitude
"6697fff02d502d001922e78f","OCC-2407XU22150464",,"Côte-des-Neiges-Notre-Dame-de-Grâce","Travaux","Permis émis","2024-08-12T20:00:00Z","2024-08-13T19:59:59Z","Autre","West Hill entre Fielding et Chester","RTU (Réseau technique urbain) ou son sous-traitant
","Lanauco","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"06:00","16:00","06:00","16:00","06:00","16:00","06:00","16:00","06:00","16:00",,,"2024-07-28T00:01:09Z",-73.64136515772475,45.4722035383501
"66982a67d5438700194b130b","OCC-2407EJ22124362","516203","Ahuntsic-Cartierville","Travaux","Permis émis","2024-08-11T20:00:00Z","2024-08-16T19:59:59Z","Autre","Henri-Bourassa entre De Saint-Firmin et Prairies","Entrepreneur sous contrat avec la Ville de Montréal","Construction N.R.C. Inc","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","18:00","07:00","18:00","07:00","18:00","07:00","18:00","07:00","18:00",,,"2024-07-28T00:01:09Z",-73.656753417834,45.57367232514604
"669a4df0b6d1d20019bb4962","OCC-2407LU22081699","15606","Le Plateau-Mont-Royal","Travaux","Permis émis","2024-08-04T20:00:00Z","2024-08-31T19:59:59Z","Construction/rénovation sans excavation","Érables entre Mont-Royal et Gilford","Entrepreneur sous contrat avec la Ville de Montréal","Sutera Inc.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-28T00:01:09Z",-73.57209563246502,45.53593051320981
"669e59511f07c70019902c9f","OCC-2407AC22107712",,"Lachine","Travaux","Permis émis","2024-08-01T20:00:00Z","2024-08-16T19:59:59Z","Construction/rénovation avec excavation","6e entre Victoria et Saint-Antoine",,,"t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-28T00:01:09Z",-73.66924606153823,45.43912079301685
"66a06f3539ccdb0019575b1b","OCC-2407GT22267409","509803","Ahuntsic-Cartierville","Travaux","Permis émis","2024-07-27T20:00:00Z","2024-08-16T19:59:59Z","Autre","Charton entre Sauriol et Prieur","Entrepreneur sous contrat avec la Ville de Montréal","Demix construction","t","f","t","f","t","f","t","f","t","f","t","f","t","f","08:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","09:00","19:00","2024-07-28T00:01:09Z",-73.65222343801875,45.56939028378238
"66a07092152aad001c85f73e","OCC-2407DR22267918","509803","Ahuntsic-Cartierville","Travaux","Permis émis","2024-07-27T20:00:00Z","2024-08-16T19:59:59Z","Autre","Hamelin entre Sauriol et Fleury","Entrepreneur sous contrat avec la Ville de Montréal","Demix construction","t","f","t","f","t","f","t","f","t","f","t","f","t","f","08:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","09:00","19:00","2024-07-28T00:01:09Z",-73.65091740441801,45.5695704852518
"66a24a239ddfb6001953b06c","OCC-2407TN22087455",,"Ahuntsic-Cartierville","Travaux","Permis émis","2024-08-04T20:00:00Z","2024-08-11T19:59:59Z","Autre","Grenet entre Grenet et Grenet","Organisation publique ou son sous-traitant","NouvLR","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-28T00:01:09Z",-73.70720153143573,45.52396656954208
"66a24f3e9ddfb6001953b108","OCC-2407NI22091563",,"Ahuntsic-Cartierville","Travaux","Permis émis","2024-08-11T20:00:00Z","2024-08-18T19:59:59Z","Autre","Grenet entre Grenet et Grenet","Organisation publique ou son sous-traitant","NouvLR","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-28T00:01:09Z",-73.70730844259,45.52395770830126
"66a296b29ddfb6001953b810","OCC-2407YB22271558","509803","Ahuntsic-Cartierville","Travaux","Permis émis","2024-07-28T20:00:00Z","2024-08-16T19:59:59Z","Autre","Charton entre Fleury et Prieur","Entrepreneur sous contrat avec la Ville de Montréal","Demix construction","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-28T00:01:09Z",-73.65309547534287,45.56974781997439
"669ab89ae099a40019a0aa30","OCC-2407XU22127699",,"Ahuntsic-Cartierville","Travaux","Permis émis","2024-08-11T20:00:00Z","2024-09-27T19:59:59Z","Construction/rénovation sans excavation","D'Auteuil entre Henri-Bourassa et Gouin","Entreprise","Construction K2","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00",,,"2024-07-28T00:01:09Z",-73.67243945992318,45.5538663764551
