id_request,streetid,streetimpactwidth,streetimpacttype,nbfreeparkingplace,sidewalk_blockedtype,backsidewalk_blockedtype,bikepath_blockedtype,name,shortname,fromname,fromshortname,toname,toshortname,length,isarterial,stmimpact_blockedtype,otherproviderimpact_blockedtype,reservedlane_blockedtype
"61b3565f3a91f0001abe3fa1","avenue McEachran ","0-3 mètres","Voie de stationnement obstruée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","avenue McEachran ","McEachran","chemin Bates ","Bates","avenue McEachran ","McEachran",90.17,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"660c5727de30f500198df611","rue Stanley ","0-3 mètres","Voie de stationnement obstruée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","rue Stanley ","Stanley","rue Sainte-Catherine Ouest ","Sainte-Catherine","boulevard De Maisonneuve Ouest ","De Maisonneuve",177.37,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"660c5b05de30f500198df7b7","rue Workman ","6-9 mètres","Voie de stationnement obstruée",4,"Obstrué (un passage piéton de 1,5 m est conservé)","Aucun impact / non applicable","Aucun impact / non applicable","rue Workman ","Workman","avenue Greene ","Greene","rue Rose-de-Lima ","Rose-de-Lima",137.57,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"61b359623a91f0001abe4031","avenue Dollard ","3-6 mètres","Voie de stationnement et voie de circulation obstruées",10,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","avenue Dollard ","Dollard","avenue du Manoir ","Manoir","avenue Thérèse-Lavoie-Roux ","Thérèse-Lavoie-Roux",61.8,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"66677199308ddd0019674902","rue Bélanger ","3-6 mètres","Voie de stationnement et voie de circulation obstruées",8,"Obstrué (un passage piéton de 1,5 m est conservé)","Obstrué","Aucun impact / non applicable","rue Bélanger ","Bélanger","rue Sagard ","Sagard","rue des Écores ","Écores",146.63,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"66677199308ddd0019674902","rue Louis-Hémon ","6-9 mètres","Rue barrée",10,"Obstrué (un passage piéton de 1,5 m est conservé)","Aucun impact / non applicable","Aucun impact / non applicable","rue Louis-Hémon ","Louis-Hémon","rue Augier ","Augier","rue Bélanger ","Bélanger",103.24,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"66677199308ddd0019674902","rue Augier ","3-6 mètres","Rue barrée",0,"Obstrué (un passage piéton de 1,5 m est conservé)","Aucun impact / non applicable","Aucun impact / non applicable","rue Augier ","Augier","rue Louis-Hémon ","Louis-Hémon","rue des Écores ","Écores",66.75,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"660c4343ca033000191a626e","avenue Papineau ","0-3 mètres","Aucun impact / non applicable",0,"Obstrué (un passage piéton de 1,5 m est conservé)","Aucun impact / non applicable","Aucun impact / non applicable","avenue Papineau ","Papineau","rue Sainte-Catherine Est ","Sainte-Catherine","boulevard De Maisonneuve Est ","De Maisonneuve",132.62,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"6666de20527fb70019d670eb","boulevard Saint-Laurent ","0-3 mètres","Aucun impact / non applicable",0,"Obstrué (un passage piéton de 1,5 m est conservé)","Aucun impact / non applicable","Aucun impact / non applicable","boulevard Saint-Laurent ","Saint-Laurent","rue Jean-Talon Ouest ","Jean-Talon","rue De Castelnau Ouest ","De Castelnau",151.62,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"6666e1ed527fb70019d67137","rue Bellarmin ","0-3 mètres","Voie de stationnement obstruée",7,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","rue Bellarmin ","Bellarmin","boulevard Saint-Laurent ","Saint-Laurent","rue Clark ","Clark",90.43,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
