NOM_CLIENT_PARTENAIRE,TYPE_CLIENT_PARTENAIRE,STATUT,SOUS_PROGRAMME,SOUS_TYPE_CLIENT_PARTENAIRE,CATEGORIE_INSTITUTION,CHAMP_INTERVENTION,SECTEUR_INTERVENTION,NO_CIVIQUE,RUE,MUNICIPALITE,CODE_REGION_ADMIN,REGION_ADMIN,PROVINCE,PAYS,CODE_POSTAL,LONGITUDE,LATITUDE
Les Ateliers et l'Orchestre symphonique de jeunes Philippe-Filion,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,2100,boulevard des Hêtres,Shawinigan,4,Mauricie,Québec,Canada,G9N 6V3,-72.746644583288017,46.559879463988096
Les jeunes concerts du Témiscamingue,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,3-A,rue Sainte-Anne,Ville-Marie,8,Abitibi-Témiscamingue,Québec,Canada,J9V 2B6,-79.442334788051667,47.330260038603072
Les Petits Chanteurs de Trois-Rivières inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,725,rue Hart,Trois-Rivières,4,Mauricie,Québec,Canada,G9A 4R9,-72.536930805808126,46.345571507479171
Les Petits Chanteurs du Mont-Royal,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Ensemble musical / maîtrise,Champ multiple,Secteurs multiples ou autres,4300,chemin Queen-Mary,Montréal,6,Montréal,Québec,Canada,H3V 1A6,-73.620556452647151,45.491112025526292
Les Petits Violons inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,5316,boulevard Saint-Laurent,Montréal,6,Montréal,Québec,Canada,H2T1S1,-73.596530187894771,45.524492317002561
Les productions musicales l'Artishow,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Arts de la scène / multiple,Arts de la scène,217,Rue Montcalm,Gatineau,7,Outaouais,Québec,Canada,J8Y 6X1,-75.73165373106292,45.430740026283019
L'Orchestre symphonique des jeunes de Joliette,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Ensemble musical / orchestre de jeunes,Musique,Arts de la scène,20,rue Saint-Charles-Borromée Sud,Joliette,14,Lanaudière,Québec,Canada,J6E 4S9,-73.435402515686178,46.026989763945792
Orchestre à cordes de Baie-Comeau,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Ensemble musical / orchestre de jeunes,Musique,Arts de la scène,41,avenue Mance,Baie-Comeau,9,Côte-Nord,Québec,Canada,G4Z 1M6,-68.146764139799615,49.21815481761525
Orchestre des jeunes de Westmount,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Ensemble musical / orchestre de jeunes,Musique,Arts de la scène,5038,rue Sherbrooke Ouest,Montréal,6,Montréal,Québec,Canada,H4A 1S7,-73.605759235312931,45.476441428834519
Orchestre des jeunes du Saguenay-Lac-Saint-Jean,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Ensemble musical / orchestre de jeunes,Musique,Arts de la scène,202,rue Jacques-Cartier Est,Saguenay,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G7H 6R8,-71.061322565276015,48.425983392644476
Orchestre symphonique de Lévis,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Ensemble musical / orchestre de jeunes,Musique,Arts de la scène,3995,rue de la Fabrique,Lévis,12,Chaudière-Appalaches,Québec,Canada,G6W 1J6,-71.201342499510233,46.778403299999347
Orchestre symphonique des jeunes de Montréal,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Ensemble musical / orchestre de jeunes,Musique,Arts de la scène,1675,Boul. St-Joseph Est,Montréal,6,Montréal,Québec,Canada,H2J 1N1,-73.580159312864637,45.534988216368795
Orchestre symphonique des jeunes de Sherbrooke,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Ensemble musical / orchestre de jeunes,Musique,Arts de la scène,222,Frontenac,Sherbrooke,5,Estrie,Québec,Canada,J1H 1J9,-71.894516830781185,45.403011379295499
Orchestre symphonique des jeunes du West Island,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Ensemble musical / orchestre de jeunes,Champ autre,Secteurs multiples ou autres,C.P. 1028,succursale Pointe-Claire,Pointe-Claire,6,Montréal,Québec,Canada,H9S 4H9,,
Orchestre symphonique de Terrebonne,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Ensemble musical / orchestre de jeunes,Musique,Arts de la scène,901,rue Saint-Louis,Terrebonne,14,Lanaudière,Québec,Canada,J6W 1K1,-73.637612110727076,45.696244626753909
Village en chanson de Petite-Vallée (camp),Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Département ou service d'un organisme privé (université, collège, autre)",Camp de formation spécialisée en arts,Chanson,Arts de la scène,41,rue Principale,Petite-Vallée,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G0E 1Y0,-65.034594041268122,49.218611087138221
