District,Bureau,Candidat1,Vote1,Candidat2,Vote2,Candidat3,Vote3,Candidat4,Vote4,Candidat5,Vote5,Rejetes
5,112,Jocelyn BLONDIN,54,Mélisa FERREIRA,90,,0,,0,,0,1
5,113,Jocelyn BLONDIN,74,Mélisa FERREIRA,75,,0,,0,,0,5
5,114,Jocelyn BLONDIN,69,Mélisa FERREIRA,94,,0,,0,,0,3
5,115,Jocelyn BLONDIN,129,Mélisa FERREIRA,91,,0,,0,,0,1
5,116,Jocelyn BLONDIN,46,Mélisa FERREIRA,75,,0,,0,,0,1
5,117,Jocelyn BLONDIN,92,Mélisa FERREIRA,90,,0,,0,,0,2
5,118,Jocelyn BLONDIN,71,Mélisa FERREIRA,77,,0,,0,,0,0
5,119,Jocelyn BLONDIN,56,Mélisa FERREIRA,39,,0,,0,,0,3
5,120,Jocelyn BLONDIN,56,Mélisa FERREIRA,84,,0,,0,,0,2
5,121,Jocelyn BLONDIN,102,Mélisa FERREIRA,118,,0,,0,,0,2
5,122,Jocelyn BLONDIN,71,Mélisa FERREIRA,75,,0,,0,,0,2
5,123,Jocelyn BLONDIN,60,Mélisa FERREIRA,101,,0,,0,,0,5
5,124,Jocelyn BLONDIN,72,Mélisa FERREIRA,104,,0,,0,,0,7
5,125,Jocelyn BLONDIN,58,Mélisa FERREIRA,72,,0,,0,,0,5
5,BVA-05-1,Jocelyn BLONDIN,126,Mélisa FERREIRA,155,,0,,0,,0,2
5,BVA-05-2,Jocelyn BLONDIN,61,Mélisa FERREIRA,63,,0,,0,,0,2
5,BVA-05-3,Jocelyn BLONDIN,86,Mélisa FERREIRA,66,,0,,0,,0,0
5,126,Jocelyn BLONDIN,90,Mélisa FERREIRA,36,,0,,0,,0,2
5,127,Jocelyn BLONDIN,94,Mélisa FERREIRA,37,,0,,0,,0,5
5,128,Jocelyn BLONDIN,82,Mélisa FERREIRA,37,,0,,0,,0,5
5,129,Jocelyn BLONDIN,90,Mélisa FERREIRA,47,,0,,0,,0,2
5,130,Jocelyn BLONDIN,58,Mélisa FERREIRA,23,,0,,0,,0,2
5,BVA-05-4,Jocelyn BLONDIN,61,Mélisa FERREIRA,42,,0,,0,,0,1
5,BVA-05-5,Jocelyn BLONDIN,76,Mélisa FERREIRA,28,,0,,0,,0,0
5,BVA-05-6,Jocelyn BLONDIN,78,Mélisa FERREIRA,25,,0,,0,,0,3
6,131,Isabelle N. MIRON,65,Marc-André PELLETIER,78,,0,,0,,0,0
6,132,Isabelle N. MIRON,42,Marc-André PELLETIER,50,,0,,0,,0,1
6,133,Isabelle N. MIRON,68,Marc-André PELLETIER,57,,0,,0,,0,2
6,134,Isabelle N. MIRON,94,Marc-André PELLETIER,79,,0,,0,,0,2
6,135,Isabelle N. MIRON,95,Marc-André PELLETIER,77,,0,,0,,0,3
6,136,Isabelle N. MIRON,71,Marc-André PELLETIER,84,,0,,0,,0,2
6,137,Isabelle N. MIRON,97,Marc-André PELLETIER,81,,0,,0,,0,4
6,138,Isabelle N. MIRON,43,Marc-André PELLETIER,85,,0,,0,,0,4
6,BVA-06-1,Isabelle N. MIRON,136,Marc-André PELLETIER,82,,0,,0,,0,5
6,BVA-06-2,Isabelle N. MIRON,69,Marc-André PELLETIER,82,,0,,0,,0,5
6,BVA-06-3,Isabelle N. MIRON,61,Marc-André PELLETIER,45,,0,,0,,0,3
