"ProblÃ¨me","Date rÃ©alisÃ©e","secteur","District","CoordonnÃ©e x","CoordonnÃ©e y","Emplacement pour tri"
"EGPUISARD","2018-11-07","04","16","281682,29999999999","5042072,4000000004","DO;Bord-de-l'Eau;Chemin;407"
"EGPUISARD","2018-11-07","04","17","275207,20000000001","5045436,5","LO;21e;Avenue;2320"
"EGPUISARD","2018-02-28","05","20","281353,59999999998","5047989,4000000004","FA;Hudon;Rue;504"
"EGPUISARD","2018-10-16","05","20","280860","5048693,5999999996","FA;Delphis;Rue;3397"
"EGFOSSÃ","2018-11-07","04","16","283167,59999999998","5042356,7999999998","DO;Ãtienne-Lavoie;Rue;888"
"EGPUISARD","2018-11-07","04","","281463,90000000002","5044027","DO;Principale;Rue"
"EGPUISARD","2018-03-02","05","20","281066,40000000002","5048105,9000000004","FA;Hochelaga;Rue;467"
"EGPUISARD","2018-11-07","04","18","277156,29999999999","5046705","FA;Dionne;Rue;943"
"EGPUISARD","2018-03-23","05","","282456,70000000001","5051850","RO;Filion;Rue"
"EGCONDUITEMAITR","2018-01-05","06","","0","0","VI;Monte-Carlo;Rue"
"EGREGARD","2018-10-30","03","14","284004,20000000001","5043281,2999999998","CH;Canterbury;Rue;547"
"EGENTRÃESERVICE","2018-09-20","05","19","279801,90000000002","5048296,2000000002","FA;Mance;Rue;3844"
"EGPUISARD","2018-10-08","05","20","281007,5","5048644,7000000002","FA;Delson;Rue;3365"
"EGPUISARD","2018-03-06","05","","285232,96740000002","5050947","RO;Industriel;Boulevard"
"EGPUISARD","2018-03-27","05","","281004,29999999999","5049325","FA;CÃ©line;Rue"
"EGPUISARD","2018-05-01","05","19","280084,29999999999","5049509,9000000004","FA;Sainte-Rose;Boulevard;3595"
"EGREGARD","2018-05-03","05","19","279598,90000000002","5048477,5999999996","FA;MercÃ©des;Rue;3803"
"EGPUISARD","2018-11-07","04","18","276771,59999999998","5046588,5999999996","FA;11e;Avenue;934"
"EGPUISARD","2018-05-03","05","19","279605,09999999998","5048413,7999999998","FA;MercÃ©des;Rue;3818"
"EGCONDUITEMAITR","2018-11-07","04","17","275619","5045491","LO;26e;Rue;3050"
"EGPUISARD","2018-03-01","04","18","277878,59999999998","5048476,9000000004","FA;39e;Avenue;1280"
"EGPUISARD","2018-10-11","05","18","280582,29999999999","5047628,5","FA;Jacqueline;Rue;3639"
"EGREGARD","2018-01-11","01","03","291464,90000000002","5050427,0999999996","DU;Montmartre;Rue;1090"
"EGENTRÃESERVICE","2018-03-08","04","17","275602,29999999999","5044585,0999999996","LO;15e;Avenue;7001"
"EGREGARD","2018-04-20","01","02","293165,20000000001","5051786,5999999996","VP;Suzanne;Avenue;934"
"EGPUISARD","2018-03-20","05","19","280923,79999999999","5049208,2000000002","FA;FÃ©licia;Rue;674"
"EGPUISARD","2018-03-22","05","20","283009,5","5051050","RO;Flamants;Place;2360"
"EGAUTRES","2018-03-22","05","20","283009,5","5051050","RO;Flamants;Place;2360"
"EGENTRÃESERVICE","2018-03-07","06","09","286092","5052473,2999999998","VI;Ostende;Rue;58"
"EGENTRÃESERVICE","2018-03-13","06","08","288884,5","5052088,5","VI;Norman-Bethune;Boulevard;1741"
"EGENTRÃESERVICE","2018-03-07","06","09","287215,90000000002","5052726,2000000002","VI;Palerme;Rue;2103"
"EGCONDUITEMAITR","2018-03-09","01","04","292072,79999999999","5049628,9000000004","DU;LÃ©vesque Est;Boulevard;2907"
"EGPUISARD","2018-11-07","04","17","276004,59999999998","5043930,2000000002","LO;Pierre-Emmanuel;Rue;8190"
"EGPUISARD","2018-11-07","04","17","276195,09999999998","5042521,5999999996","LL;Ãrables;Rue;50"
"EGREGARD","2018-07-26","01","02","292359,20000000001","5050760,5999999996","VP;Concorde Est;Boulevard;3590"
"EGPUISARD","2018-03-22","05","","279386,40000000002","5048339","FA;Mario;Rue"
"EGPUISARD","2018-10-11","04","18","278644,20000000001","5048563,0999999996","FA;SÃ©guin;Rue;3985"
"EGPUISARD","2018-10-30","05","21","0","0","RO;CurÃ©-Labelle;Boulevard;367"
"EGENTRÃESERVICE","2018-11-07","04","18","278108,70000000001","5048527","FA;42e;Avenue;1235"
"EGREGARD","2018-03-23","05","19","280149,90000000002","5048983,0999999996","FA;LÃ©andre;Rue;3508"
"EGPUISARD","2018-03-22","05","20","283033,59999999998","5051169,2999999998","RO;Flamants;Place;2290"
"EGENTRÃESERVICE","2018-03-07","01","03","290968,20000000001","5050759","DU;Pic;Rue;2860"
"EGPUISARD","2018-03-01","05","19","281347,29999999999","5049071,2999999998","FA;Girouard;Rue;3239"
"EGPUISARD","2018-03-23","05","21","283292,90000000002","5053626,2999999998","RO;Olier-Payette;Avenue;1110"
"EGPUISARD","2018-11-07","04","18","278686,42330000002","5047221,2699999996","FA;Rudy;Rue;4104"
"EGPUISARD","2018-11-07","04","","0","0","FA;Chomedey (A-13);Desserte ouest"
"EGPUISARD","2018-11-07","04","17","276929,16720000003","5045191,0577999996","LO;55e;Avenue;7422"
"EGPUISARD","2018-11-07","04","17","276583,5","5043735,2999999998","DO;Portage;Rue;1660"
"EGPUISARD","2018-11-07","04","","277954,51000000001","5047394","FA;Aubert;Rue"
"EGPUISARD","2018-07-17","05","20","280943,40000000002","5048595,7999999998","FA;Delson;Rue;3394"
"EGPUISARD","2018-11-07","04","16","281833,09999999998","5043302,5999999996","DO;Josaphat-Demers;Avenue;820"
"EGPUISARD","2018-03-21","05","20","282737","5050517,0999999996","RO;Albatros;Rue;2735"
"EGPUISARD","2018-11-07","04","","281642,40000000002","5044176","DO;Champagne;MontÃ©e"
"EGPUISARD","2018-03-27","05","","280363,40000000002","5049377","FA;Christiane;Rue"
"EGREGARD","2018-05-01","05","20","281045,09999999998","5047272,5","FA;Imelda;Rue;271"
"EGPUISARD","2018-05-01","05","21","281912,5","5052273,4000000004","RO;Sainte-Rose;Boulevard;312"
"EGENTRÃESERVICE","2018-03-07","02","07","286200,90000000002","5048475,2999999998","CH;Jessop;Avenue;2154"
"EGREGARD","2018-03-23","05","19","280120,5","5049944,2999999998","FA;Sainte-Rose;Boulevard;3539"
"EGPUISARD","2018-10-10","05","19","280456,29999999999","5047700,2000000002","FA;Julio;Rue;3621"
"EGPUISARD","2018-03-27","05","19","280968","5049497","FA;Charlotte;Rue;3345"
"EGPUISARD","2018-11-07","04","16","280183,5","5042642,2999999998","DO;Lecavalier;Terrasse;786"
"EGCONDUITEMAITR","2018-10-11","02","04","290773","5048494,2999999998","PV;Laporte;Avenue;362"
"EGPUISARD","2018-03-23","03","13","285175,40000000002","5044067,7999999998","CH;89e;Avenue;513"
"EGPUISARD","2018-03-22","05","","282842,90000000002","5050462","RO;Merle;Rue"
"EGENTRÃESERVICE","2018-06-05","05","19","279245,40000000002","5048866,4000000004","FA;Bahia;Rue;3883"
"EGPUISARD","2018-10-16","05","20","280890,40000000002","5048665,7000000002","FA;Delphis;Rue;3396"
"EGPUISARD","2018-10-15","05","20","280860","5048693,5999999996","FA;Delphis;Rue;3397"
"EGPUISARD","2018-03-27","05","19","280612,09999999998","5049162,2000000002","FA;Frida;Rue;687"
"EGPUISARD","2018-11-07","04","","0","0","FA;Sainte-Rose;Boulevard"
"EGPUISARD","2018-11-07","04","17","276982,40000000002","5045269,4000000004","LO;57e;Avenue;7375"
"EGREGARD","2018-05-09","06","09","286188,09999999998","5052829,7000000002","VI;Milan;Rue;2272"
"EGFOSSÃ","2018-11-07","04","","281095,90000000002","5042954,4000000004","DO;Sylvie;Rue;655"
"EGPUISARD","2018-03-23","03","12","285308","5046042,2999999998","CH;Chomedey;Boulevard;1660"
"EGPUISARD","2018-11-07","04","18","276231,5","5045883,7999999998","LO;49e;Avenue;4961"
"EGPUISARD","2018-11-07","04","16","280053,79999999999","5043520,9000000004","DO;Marguerite;Rue;522"
"EGREGARD","2018-11-07","04","","275354,79999999999","5046302","LO;4e;Rue"
"EGPUISARD","2018-11-07","04","","279557","5044033","DO;Oeillets;Rue"
"EGPUISARD","2018-05-10","05","","279442,29999999999","5048716","FA;Marian;Rue"
"EGPUISARD","2018-03-27","05","18","280669","5047038,9000000004","FA;Justin;Rue;156"
"EGPUISARD","2018-03-22","05","20","282735,70000000001","5050330,5999999996","RO;Merle;Rue;2770"
"EGPUISARD","2018-03-27","05","19","280804,09999999998","5049765,5","FA;Constance;Rue;3359"
"EGPUISARD","2018-03-23","05","20","282558,79999999999","5051322,4000000004","RO;Louis-Mongeau;Rue;194"
"EGENTRÃESERVICE","2018-04-09","03","15","284098,79999999999","5045441,9000000004","CH;Pilon;Terrasse;1641"
"EGPUISARD","2018-03-27","05","19","281028,09999999998","5049600,7000000002","FA;Chantal;Rue;3313"
"EGPUISARD","2018-11-07","04","18","277176,70000000001","5047300,9000000004","FA;Frenette;Rue;4065"
"EGREGARD","2018-11-07","04","","276259","5046385","FA;2e;Avenue"
"EGENTRÃESERVICE","2018-11-07","04","16","280250,90000000002","5042792,4000000004","DO;Filiatrault;Rue;617"
"EGPUISARD","2018-03-23","05","21","281684,09999999998","5050852,0999999996","RO;P.-Ã.-Borduas;Rue;350"
"EGENTRÃESERVICE","2018-03-07","02","11","287711,59999999998","5047222,7000000002","LR;Lartigue;Rue;609"
"EGPUISARD","2018-11-07","04","","281284,09999999998","5042550","DO;Samson;Boulevard"
"EGPUISARD","2018-04-04","04","17","276810,79999999999","5042618,5999999996","DO;Bord-de-l'Eau;Chemin;1371"
"EGPUISARD","2018-08-25","05","19","279730,70000000001","5048985,4000000004","FA;Sainte-Rose;Boulevard;3750"
"EGREGARD","2018-11-07","04","16","280181,29999999999","5043314,7000000002","DO;Boileau;Rue;931"
"EGPUISARD","2018-04-16","05","20","281007,5","5048644,7000000002","FA;Delson;Rue;3365"
"EGPUISARD","2018-03-09","01","01","298411","5058926,5","FR;Cyrano;Rue;8370"
"EGREGARD","2018-04-26","03","12","287534,46610000002","5045099,7713000001","LR;Cartier Ouest;Boulevard;525"
"EGREGARD","2018-04-26","03","15","282912","5046582","CH;ClÃ©roux;Boulevard;4347"
"EGPUISARD","2018-04-10","05","20","282213,5","5048645,5999999996","FA;Ãlaine;Rue;442"
"EGENTRÃESERVICE","2018-05-24","02","07","286459,29999999999","5048388,7000000002","CH;Bizet;Avenue;1631"
"EGPUISARD","2018-10-11","05","18","280467,09999999998","5047585,2000000002","FA;Juan;Place;449"
"EGENTRÃESERVICE","2018-03-07","03","14","284797,29999999999","5044870","CH;Ridgewood;Rue;1061"
"EGPUISARD","2018-03-27","05","20","281105,09999999998","5047872,5999999996","FA;Hamel;Rue;443"
"EGREGARD","2018-11-19","05","19","282114,5","5048866,2999999998","FA;Dagenais Ouest;Boulevard;3051"
"EGENTRÃESERVICE","2018-03-02","06","10","285259,70000000001","5055696","AU;Prince-Rupert;Rue;6295"
"EGREGARD","2018-09-25","02","06","290372,29999999999","5048811,0999999996","PV;Limousin;Rue;253"
"EGREGARD","2018-04-09","02","06","289356,5","5048991,7000000002","CH;Bousquet;Rue;1235"
"EGPUISARD","2018-03-23","03","15","283409,59999999998","5045679,9000000004","CH;Gatineau;Rue;4427"
"EGPUISARD","2018-03-23","03","15","283380,90000000002","5046469,5","CH;Courteau;Place;4010"
"EGPUISARD","2018-04-03","01","02","292745,29999999999","5050924,2000000002","VP;Rodrigue-Bourdages;Avenue;677"
"EGPUISARD","2018-07-10","05","19","279879,5","5048499","FA;Martial;Place;795"
"EGPUISARD","2018-03-20","05","18","280767","5047228,5999999996","FA;JoÃ«l;Place;3577"
"EGPUISARD","2018-07-19","06","09","285633,20000000001","5052422,9000000004","AU;Rio;Rue;2316"
"EGPUISARD","2018-07-17","05","20","280957,79999999999","5048598,7999999998","FA;Delson;Rue;3388"
"EGPUISARD","2018-07-19","01","03","291495,79999999999","5050458,0999999996","DU;Montmartre;Rue;1095"
"EGENTRÃESERVICE","2018-07-17","02","06","290520,20000000001","5049612,9000000004","DU;Calais;Rue;1330"
"EGPUISARD","2018-03-23","03","12","286855,68540000002","5044261,5754000004","CH;LÃ©vesque Ouest;Boulevard;3335"
"EGPUISARD","2018-03-13","05","21","282938,09999999998","5051567,7999999998","RO;NoÃ«l-CazÃ©;Rue;2775"
"EGPUISARD","2018-10-30","05","20","282296,40000000002","5051129,0999999996","RO;CurÃ©-Labelle;Boulevard;266"
"SUP-EGOUTAQUE","2018-03-27","05","19","279540,59999999998","5048450,7000000002","FA;Nicole;Rue;3848"
"EGPUISARD","2018-03-22","01","04","291602,09999999998","5049001","DU;Auriol;Rue;445"
"EGPUISARD","2018-03-08","05","20","284095","5050521","RO;Orioles;Rue;2188"
"EGREGARD","2018-03-23","05","21","282765,15990000003","5052968,7463999996","RO;Patriotes;Rue;1018"
"EGREGARD","2018-03-27","05","20","281163,90000000002","5048715,0999999996","FA;FÃ©lix;Rue;550"
"EGREGARD","2018-03-01","05","19","281249,40000000002","5049049,7999999998","FA;Girouard;Rue;3275"
"EGPUISARD","2018-03-21","05","","279473,70000000001","5048669","FA;Marian;Rue"
"EGREGARD","2018-03-22","05","","283271,29999999999","5050572","RO;Perdrix;Rue"
"EGENTRÃESERVICE","2018-11-07","04","18","0","0","FA;Dagenais Ouest;Boulevard;4504"
"EGENTRÃESERVICE","2018-08-14","06","08","287390,59999999998","5050553,4000000004","VI;Le Royer;Rue;29"
"EGPUISARD","2018-11-07","04","17","279967,20000000001","5042511,5999999996","DO;De Marillac;Place;870"
"EGPUISARD","2018-11-07","04","18","277745,5","5046846,7000000002","FA;Bellemare;Rue;872"
"EGENTRÃESERVICE","2018-11-07","04","17","276138,59999999998","5045541,7999999998","LO;Arthur-SauvÃ©;Boulevard;5580"
"EGENTRÃESERVICE","2018-01-03","06","10","285974,79999999999","5054050,7999999998","AU;PauzÃ©;Rue;5293"
"EGENTRÃESERVICE","2018-04-17","03","12","285604,5","5045181,4000000004","CH;Pie-X;Boulevard;1050"
"EGENTRÃESERVICE","2018-06-06","05","19","279633,59999999998","5048471,7999999998","FA;MercÃ©des;Rue;3795"
"EGREGARD","2018-10-10","02","06","288754,70000000001","5047581,0999999996","LR;Saint-Tropez;Place;585"
"EGREGARD","2018-05-30","02","06","289153,40000000002","5048423,5999999996","PV;Paul-Comtois;Terrasse;186"
"EGREGARD","2018-05-30","02","06","289153,40000000002","5048423,5999999996","PV;Paul-Comtois;Terrasse;186"
"EGENTRÃESERVICE","2018-04-16","02","06","289773,90000000002","5048191,5","PV;Saint-AndrÃ©;Rue;599"
"EGCONDUITEMAITR","2018-11-07","04","17","276838","5042999,0999999996","DO;Grande-Anse;Rue;50"
"EGENTRÃESERVICE","2018-11-07","04","17","275440,29999999999","5044321,4000000004","LO;9e;Avenue;7330"
"EGPUISARD","2018-11-07","04","18","278754,20000000001","5047541,2999999998","FA;Sonia;Place;838"
"EGCONDUITEMAITR","2018-11-07","04","18","277746,70000000001","5046909,4000000004","FA;Bellemare;Rue;887"
"EGCONDUITEMAITR","2018-10-18","01","03","290811,02130000002","5052927,9380999999","DU;Gouverneurs;Avenue;3092"
"EGPUISARD","2018-11-07","04","17","275137,28490000003","5046334,1415999997","LO;Arthur-SauvÃ©;Boulevard;310"
"EGENTRÃESERVICE","2018-09-20","05","19","281623","5049962","FA;Guillemette;Rue;799"
"EGPUISARD","2018-11-07","04","","281463,90000000002","5044027","DO;Principale;Rue"
"EGPUISARD","2018-11-07","04","17","277034,32919999998","5042717,8717","DO;Relais;Rue;1227"
"EGENTRÃESERVICE","2018-10-30","02","07","287121,90000000002","5047889,5999999996","CH;Deyglun;Rue;1481"
"EGENTRÃESERVICE","2018-10-04","05","19","280731,40000000002","5049141,2999999998","FA;Fridolin;Rue;676"
"EGENTRÃESERVICE","2018-08-08","04","18","276290,70000000001","5045659,0999999996","LO;47e;Avenue;5541"
"EGPUISARD","2018-04-26","03","","284994,5","5045131","CH;CurÃ©-Labelle;Boulevard"
"EGPUISARD","2018-11-07","04","16","281836,94209999999","5042042,1037999997","DO;Bord-de-l'Eau;Chemin;373"
"EGPUISARD","2018-11-07","04","18","276166,59999999998","5045717,0999999996","LO;Arthur-SauvÃ©;Boulevard;5255"
"EGENTRÃESERVICE","2018-01-03","02","11","287839,09999999998","5045282,4000000004","LR;Clermont;Boulevard;101"
"EGPUISARD","2018-03-08","01","","291318,20000000001","5050067","DU;Champlain;Rue"
"EGENTRÃESERVICE","2018-04-05","02","04","290802,20000000001","5048148,7000000002","PV;Sables;Rue;233"
"EGPUISARD","2018-10-03","03","","286374,09999999998","5044316","CH;74e;Avenue"
"EGPUISARD","2018-11-07","04","","281600,40000000002","5044593","CH;Saint-Martin Ouest;Boulevard"
"EGPUISARD","2018-03-20","05","19","280394,5","5049008,2000000002","FA;Marian;Rue;3483"
"EGPUISARD","2018-03-22","05","20","284097,29999999999","5050507,7999999998","RO;Orioles;Rue;2182"
"EGPUISARD","2018-07-12","05","20","283190","5049913,9000000004","RO;Aiglon;Rue;6320"
"EGPUISARD","2018-07-12","05","20","283214","5050125","RO;Aiglon;Rue;6411"
"EGPUISARD","2018-03-08","05","20","284150,79999999999","5050513,2999999998","RO;Orioles;Rue;2120"
