titre,url_fiche,description,date_debut,date_fin,type_evenement,public_cible,emplacement,inscription,cout,arrondissement,titre_adresse,adresse_principale,adresse_secondaire,code_postal,lat,long,X,Y
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71216","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-05","2024-08-05","Heure du conte","Enfants","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.55698638427,-73.631071804224,294567,5046350
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71220","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-23","2024-07-23","Heure du conte","Enfants","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.535565703248,-73.709448323398,288441.9,5043982.4
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71221","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-06","2024-08-06","Heure du conte","Enfants","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.535565703248,-73.709448323398,288441.9,5043982.4
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71225","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-23","2024-07-23","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.536560517091,-73.717189259945,287837.6,5044094.6
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71226","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-06","2024-08-06","Heure du conte","Enfants","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.536560517091,-73.717189259945,287837.6,5044094.6
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71230","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-25","2024-07-25","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.594668333308,-73.555407986619,300477.1,5050530.8
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71231","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-08","2024-08-08","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.594668333308,-73.555407986619,300477.1,5050530.8
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71235","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-25","2024-07-25","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","Domaine d'Anjou","7251, avenue de la Malicorne","None","H1M1H1",45.594163,-73.550222,300881.7,5050474.3
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71236","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-08","2024-08-08","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","Domaine d'Anjou","7251, avenue de la Malicorne","None","H1M1H1",45.594163,-73.550222,300881.7,5050474.3
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71238","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-18","2024-07-18","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.604072,-73.583457,298289.8,5051577.7
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71239","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-29","2024-07-29","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.604072,-73.583457,298289.8,5051577.7
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71240","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-01","2024-08-01","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.604072,-73.583457,298289.8,5051577.7
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71247","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-18","2024-07-18","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.46852820672,-73.607840538025,296367.5,5036516.9
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71248","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-01","2024-08-01","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.46852820672,-73.607840538025,296367.5,5036516.9
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71251","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-18","2024-07-18","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.473919617061,-73.634638433038,294273.1,5037119.2
