ï»¿Annee,No_MRC,Nombre_d_exploitants_declarants,Nom_MRC,Region_Administrative,Superficie_agricole_en_2015_,Charge_P2O5_produite_par_les_animaux,Charge_P2O5_importee_par_ententes_d_epandage_,Charge_P2O5_des_engrais,Charge_P2O5_des_MRF,Charge_P2O5_detruite,Charge_P2O5_traitee_en_produits_utiles,Charge_P2O5_exportee_par_ententes_d_epandage,Nombre_hectares_totaux_declares,Saturation_des_sols_en_P,Charge_P2O5_disponible_epandage,Nombre_de_lieux_d_elevage,Nombre_de_lieux_d_epandage,Superficie_classe_saturation_1,Superficie_classe_saturation_2,Superficie_classe_saturation_3,Superficie_classe_saturation_4,Longitude,Latitude,Charge_P2O5_de_dejections_animales_disponibles
2013,220,18,La Jacques-Cartier,03,48,140333.7,42898.0,19261.0,1309.0,0.0,0.0,167168.9,381.2,4.85,96.1,21,2,322.7,55.7,2.8,0.0,-71.53448132400,46.94415627510,16063.0
2014,220,17,La Jacques-Cartier,03,48,140833.4,33648.0,1851.0,1113.0,0.0,0.0,165920.8,126.5,4.04,91.1,21,1,123.9,0.6,2.1,0.0,-71.53448132400,46.94415627510,8561.0
2015,220,16,La Jacques-Cartier,03,48,119583.2,31069.0,26167.0,0.0,0.0,0.0,140401.8,284.5,5.58,128.0,17,2,234.9,20.6,29.1,0.0,-71.53448132400,46.94415627510,10250.0
2016,220,15,La Jacques-Cartier,03,48,146776.6,21623.1,14950.0,1936.0,0.0,0.0,153904.2,298.3,5.77,105.2,19,2,225.7,54.6,18.1,0.0,-71.53448132400,46.94415627510,14496.0
2017,220,14,La Jacques-Cartier,03,48,142920.4,17699.9,28405.0,0.0,0.0,0.0,145535.8,303.7,5.06,143.2,18,2,247.1,54.6,2.1,0.0,-71.53448132400,46.94415627500,15085.0
2018,220,13,La Jacques-Cartier,03,48,158011.4,4356.3,17382.0,1693.0,0.0,0.0,160953.0,47.2,5.07,81.4,18,1,39.0,7.7,0.0,0.6,-71.53448132400,46.94415627500,1415.0
2012,230,33,QuÃ©bec,03,88,84636.2,15186.9,93127.7,17642.7,0.0,0.0,23087.1,3065.3,5.70,61.2,28,6,2526.6,247.5,157.3,133.9,-71.42688614680,46.78895221210,76736.0
2013,230,33,QuÃ©bec,03,88,92161.3,14827.9,85096.5,17903.1,0.0,0.0,19422.0,3181.6,5.50,57.9,28,6,2676.0,215.8,209.8,80.1,-71.42688614680,46.78895221210,87567.0
2014,230,34,QuÃ©bec,03,88,86509.2,12428.7,66255.0,12544.0,0.0,0.0,19945.0,3140.0,6.00,48.8,28,7,2572.8,138.5,282.0,146.6,-71.42688614680,46.78895221210,78993.0
2015,230,33,QuÃ©bec,03,88,89992.0,14947.1,67579.4,13938.7,0.0,0.0,19777.0,3272.3,5.67,48.9,28,6,2735.9,189.0,222.7,124.7,-71.42688614680,46.78895221210,85162.0
2016,230,33,QuÃ©bec,03,88,89961.1,6678.0,69256.0,16750.0,0.0,0.0,19279.0,3313.1,5.55,46.6,28,6,2791.0,189.9,241.4,90.8,-71.42688614680,46.78895221210,77360.0
2017,230,32,QuÃ©bec,03,88,94924.3,20132.1,65135.6,13837.8,0.0,0.0,31609.3,3326.6,5.60,46.5,27,6,2779.6,190.4,297.6,58.9,-71.42688614700,46.78895221200,83447.0
2018,230,31,QuÃ©bec,03,88,107431.3,17439.0,53058.7,25877.7,0.0,0.0,40502.7,3263.2,5.34,50.0,28,5,2817.7,172.7,154.2,118.7,-71.42688614700,46.78895221200,84368.0
2012,340,217,Portneuf,03,487,684482.3,442957.7,627373.9,60551.4,0.0,0.0,155686.5,27928.7,5.96,59.3,209,23,22168.9,2863.3,1583.7,1306.5,-71.94941953490,46.75513337170,971754.0
2013,340,221,Portneuf,03,487,686236.7,368969.6,764455.3,84226.4,0.0,0.0,137700.2,29670.0,5.82,59.1,213,23,23446.0,3573.8,1465.6,1085.8,-71.94941953490,46.75513337170,917506.0
2014,340,218,Portneuf,03,487,682680.8,390046.6,734608.4,150861.6,0.0,0.0,135530.4,29692.2,5.83,59.9,203,27,23599.8,3293.8,1918.6,872.6,-71.94941953490,46.75513337170,937197.0
2015,340,203,Portneuf,03,487,705629.0,329547.9,676082.9,72272.4,0.0,735.6,134038.3,27189.2,5.63,57.6,192,22,21820.7,3328.0,1476.0,564.5,-71.94941953490,46.75513337170,900403.0
2016,340,198,Portneuf,03,487,686888.7,343500.1,661833.3,31918.7,0.0,811.2,133635.2,27127.8,5.86,55.7,184,22,21255.4,3492.4,1657.5,722.5,-71.94941953490,46.75513337170,895942.0
2017,340,196,Portneuf,03,487,693570.6,386103.6,709315.0,39471.1,0.0,2763.2,157642.3,27256.8,5.67,58.4,182,22,21648.7,3224.4,1444.6,746.1,-71.94941953500,46.75513337200,919269.0
2018,340,187,Portneuf,03,487,744097.6,450625.6,690252.2,127624.6,0.0,0.0,207938.3,27922.4,5.80,64.6,177,24,22474.1,2949.1,1159.8,1339.4,-71.94941953500,46.75513337200,986785.0
2012,350,91,MÃ©kinac,04,212,316137.8,119602.8,179197.6,7718.0,0.0,0.0,104028.5,11140.7,5.07,46.6,97,9,9931.4,385.1,304.1,469.3,-72.49933549090,46.74710088770,331712.0
2013,350,91,MÃ©kinac,04,212,322100.0,100148.6,193698.1,15502.0,0.0,0.0,119991.2,11276.8,5.22,44.6,97,9,9908.7,445.5,310.1,556.3,-72.49933549090,46.74710088770,302257.0
2014,350,91,MÃ©kinac,04,212,309368.0,130959.6,187816.1,17224.6,0.0,0.0,113942.1,10997.8,4.82,45.7,93,11,10088.8,285.0,193.2,422.7,-72.49933549090,46.74710088770,326386.0
2015,350,88,MÃ©kinac,04,212,294369.8,178953.6,211295.1,30231.5,0.0,1036.9,103545.4,11427.0,4.83,50.4,92,10,10509.4,180.7,362.4,366.3,-72.49933549090,46.74710088770,368741.0
2016,350,87,MÃ©kinac,04,212,298325.6,174692.5,236923.2,7984.6,0.0,1118.4,103899.7,11812.9,4.82,48.1,89,9,10828.7,258.9,376.9,340.3,-72.49933549090,46.74710088770,368000.0
2017,350,87,MÃ©kinac,04,212,300704.8,220400.0,244848.3,10982.4,0.0,941.4,130298.4,11858.5,4.40,51.3,94,9,11298.3,127.5,216.2,208.3,-72.49933549100,46.74710088800,389865.0
2018,350,86,MÃ©kinac,04,212,340245.8,223959.3,202813.2,38013.3,0.0,941.4,158021.3,11839.5,4.44,54.6,93,10,11144.7,307.8,222.6,164.4,-72.49933549100,46.74710088800,405242.0
2012,360,12,Shawinigan,04,64,30818.5,9721.0,32890.2,0.0,0.0,0.0,2133.0,1374.7,6.86,51.9,8,4,1059.3,26.9,189.9,98.5,-72.74817988750,46.59717948050,38406.0
2013,360,11,Shawinigan,04,64,25893.3,29516.3,37003.6,0.0,0.0,0.0,960.0,1336.1,4.73,68.4,8,3,1215.3,73.7,3.0,44.2,-72.74817988750,46.59717948050,54450.0
2014,360,11,Shawinigan,04,64,22348.6,9625.3,24728.8,0.0,0.0,0.0,864.0,1373.4,5.81,38.5,8,3,1134.1,72.8,122.0,44.5,-72.74817988750,46.59717948050,31110.0
2015,360,10,Shawinigan,04,64,25262.2,26138.7,29952.5,0.0,0.0,0.0,0.0,1356.8,6.37,57.4,8,2,1066.8,74.8,145.1,70.2,-72.74817988750,46.59717948050,51401.0
2016,360,9,Shawinigan,04,64,15454.1,31175.9,33155.8,0.0,0.0,0.0,8349.0,1173.4,5.54,58.3,7,2,990.8,55.7,111.4,15.6,-72.74817988750,46.59717948050,38281.0
2017,360,9,Shawinigan,04,64,16783.5,39008.3,32512.1,0.0,0.0,0.0,0.0,1399.1,6.30,60.7,7,2,1098.4,91.8,144.1,64.8,-72.74817988800,46.59717948100,55792.0
2018,360,9,Shawinigan,04,64,17104.5,52207.2,31545.2,2562.0,0.0,0.0,0.0,1466.4,6.26,70.5,7,2,1173.1,72.8,129.9,90.6,-72.74817988800,46.59717948100,69312.0
2012,371,25,Trois-RiviÃ¨res,04,72,123408.1,73211.4,43216.9,400.1,0.0,0.0,125310.6,1852.9,7.69,61.4,15,12,1212.2,237.3,261.3,142.2,-72.61727584890,46.35935933780,71309.0
2013,371,25,Trois-RiviÃ¨res,04,72,109349.6,70161.6,48118.8,1008.0,0.0,0.0,107693.6,1993.3,7.70,60.1,14,13,1301.7,281.1,215.0,195.5,-72.61727584890,46.35935933780,71818.0
2014,371,24,Trois-RiviÃ¨res,04,72,118095.8,74400.7,32350.8,0.0,0.0,0.0,112342.9,1954.6,8.00,55.3,14,12,1227.3,299.1,206.5,221.6,-72.61727584890,46.35935933780,80154.0
2015,371,25,Trois-RiviÃ¨res,04,72,130766.2,72275.5,36623.9,743.7,0.0,0.0,124100.6,2032.7,7.96,54.5,14,13,1244.7,366.1,233.4,188.5,-72.61727584890,46.35935933780,78941.0
2016,371,25,Trois-RiviÃ¨res,04,72,131881.0,65933.7,47147.3,592.0,0.0,0.0,127137.6,1923.3,7.91,58.4,15,12,1176.7,356.0,224.9,165.8,-72.61727584890,46.35935933780,70677.0
2017,371,24,Trois-RiviÃ¨res,04,72,134060.3,66104.4,30533.1,0.0,0.0,30409.0,92943.9,1841.6,7.08,54.4,15,11,1234.4,330.2,180.1,96.9,-72.61727584900,46.35935933800,76812.0
2018,371,24,Trois-RiviÃ¨res,04,72,151356.6,79661.0,47333.0,1217.7,0.0,73884.0,68987.2,1822.1,7.40,75.0,15,11,1202.6,313.6,134.3,171.6,-72.61727584900,46.35935933800,88146.0
2012,372,184,Les Chenaux,04,362,730433.6,261759.7,621722.6,128570.1,0.0,0.0,339067.6,25737.6,5.46,54.4,167,30,21690.2,1849.6,1386.5,782.9,-72.39867508070,46.53888133290,653126.0
2013,372,182,Les Chenaux,04,362,735840.0,304219.8,564711.9,208022.3,0.0,0.0,350454.9,25770.8,5.42,55.6,170,28,21821.3,1640.9,1741.1,530.1,-72.39867508070,46.53888133290,689605.0
2014,372,182,Les Chenaux,04,362,750010.0,256417.0,642387.5,63347.0,0.0,0.0,346450.9,25477.1,5.20,51.0,166,29,22040.6,1574.8,1396.1,465.6,-72.39867508070,46.53888133290,659976.0
2015,372,181,Les Chenaux,04,362,770187.9,246333.5,586578.3,52988.9,0.0,1038.9,341621.3,25808.5,5.56,47.4,167,30,21719.8,1566.5,1650.3,872.0,-72.39867508070,46.53888133290,673861.0
2016,372,173,Les Chenaux,04,362,780813.1,294692.7,670282.5,53855.1,0.0,899.6,367263.5,26158.4,5.11,50.7,162,27,22902.2,1507.2,1179.7,569.3,-72.39867508070,46.53888133290,707343.0
2017,372,177,Les Chenaux,04,362,778611.9,287996.3,652851.6,69204.7,0.0,1662.1,402559.6,26736.6,5.05,47.7,164,29,23613.4,1439.4,967.7,680.3,-72.39867508100,46.53888133300,662386.0
2018,372,170,Les Chenaux,04,362,805813.2,293989.0,631243.9,65896.2,0.0,789.1,396230.3,26350.1,5.36,53.1,166,29,22750.1,1548.3,686.0,1365.8,-72.39867508100,46.53888133300,702783.0
2012,510,363,MaskinongÃ©,04,551,1407253.2,991879.2,819282.3,60581.7,0.0,0.0,905023.2,36426.8,5.73,64.7,340,60,28889.4,4385.7,1980.3,988.9,-72.94900940600,46.33856693660,1494109.0
2013,510,362,MaskinongÃ©,04,551,1372477.9,985025.5,784965.0,64029.7,0.0,9317.0,868022.9,36940.4,5.62,62.2,346,58,29511.8,4597.9,1788.8,863.7,-72.94900940600,46.33856693660,1480164.0
2014,510,353,MaskinongÃ©,04,551,1313592.8,955611.4,701015.6,53945.9,0.0,6785.0,897809.2,36672.3,5.59,56.6,337,56,29400.0,4649.8,1743.2,795.3,-72.94900940600,46.33856693660,1364610.0
2015,510,349,MaskinongÃ©,04,551,1311066.5,1034663.1,648957.8,67705.8,0.0,0.0,915455.5,37016.8,5.94,56.5,336,54,28651.7,4878.1,2549.6,893.1,-72.94900940600,46.33856693660,1430274.0
2016,510,340,MaskinongÃ©,04,551,1326236.6,1021866.7,664009.8,48943.7,0.0,0.0,950358.9,36902.9,5.88,55.4,328,53,28750.4,4809.7,2276.5,982.4,-72.94900940600,46.33856693660,1397744.0
2017,510,331,MaskinongÃ©,04,551,1370325.2,1010575.7,656561.0,43382.5,0.0,3141.4,964343.7,36762.7,5.77,55.4,323,49,29163.5,4526.5,1965.1,1063.4,-72.94900940600,46.33856693700,1413416.0
2018,510,319,MaskinongÃ©,04,551,1350473.6,1000741.7,664261.6,58427.3,0.0,2898.8,929612.1,36521.0,6.11,58.6,312,51,28464.8,4416.3,1103.4,2536.6,-72.94900940600,46.33856693700,1418704.0
2012,900,4,La Tuque,04,17,13078.3,0.0,4191.0,0.0,0.0,0.0,0.0,705.2,4.52,24.5,5,1,632.7,66.8,5.8,0.0,-72.74032856900,47.52875232140,13078.0
2013,900,5,La Tuque,04,17,13785.4,8427.8,1413.6,1060.9,0.0,0.0,5415.5,819.0,4.71,23.5,5,2,659.3,94.9,5.8,0.0,-72.74032856900,47.52875232140,16798.0
2014,900,6,La Tuque,04,17,18484.6,3536.5,746.7,1927.4,0.0,0.0,3536.5,893.0,4.73,19.6,5,3,658.8,96.8,5.8,0.0,-72.74032856900,47.52875232140,18485.0
2015,900,6,La Tuque,04,17,18485.8,4800.9,2290.3,945.3,0.0,0.0,3536.5,888.7,4.90,21.7,5,3,769.6,96.8,5.8,16.6,-72.74032856900,47.52875232140,19750.0
2016,900,6,La Tuque,04,17,19441.6,3115.0,1064.4,11668.4,0.0,0.0,1850.6,892.7,4.89,33.1,4,3,780.2,86.2,5.8,20.6,-72.74032856900,47.52875232140,20706.0
2017,900,6,La Tuque,04,17,14265.9,4932.0,4555.2,4259.0,0.0,0.0,0.0,860.7,4.29,29.2,3,3,810.6,40.8,0.0,9.4,-72.74032856900,47.52875232100,19198.0
2018,900,6,La Tuque,04,17,15856.4,1362.5,10455.2,6041.8,0.0,0.0,0.0,909.3,4.38,37.1,3,3,856.2,34.8,0.0,18.4,-72.74032856900,47.52875232100,17219.0
2012,300,152,Le Granit,05,275,574447.8,204057.0,124742.6,0.0,0.0,48878.4,131127.9,13297.2,4.86,54.2,166,4,11691.7,996.5,441.8,119.7,-70.93084518300,45.70668314310,598498.0
2013,300,155,Le Granit,05,275,556921.5,185240.8,115781.3,0.0,0.0,36135.2,123359.0,13217.2,4.94,52.3,165,8,11528.4,1058.5,408.8,174.0,-70.93084518300,45.70668314310,582668.0
2014,300,148,Le Granit,05,275,555304.8,172448.0,104606.2,9177.0,0.0,37158.6,133661.6,12959.9,5.17,50.3,156,7,11128.2,1083.3,416.9,331.5,-70.93084518300,45.70668314310,556933.0
2015,300,147,Le Granit,05,275,548707.0,174184.8,100759.4,9136.3,0.0,41918.6,117265.2,13167.9,5.16,49.2,154,6,11263.4,1048.0,435.8,328.7,-70.93084518300,45.70668314310,563708.0
2016,300,142,Le Granit,05,275,568411.4,198340.3,92687.1,6363.2,0.0,22845.3,141191.8,13193.7,5.13,49.4,147,7,11358.3,1091.2,475.8,268.4,-70.93084518300,45.70668314310,602715.0
2017,300,135,Le Granit,05,275,607123.3,214819.1,86426.0,11718.8,0.0,33697.2,144546.4,12989.4,4.87,51.2,142,6,11431.8,1110.7,330.8,116.2,-70.93084518300,45.70668314300,643699.0
2018,300,132,Le Granit,05,275,617593.5,225515.1,125216.3,6203.4,0.0,32214.0,155177.4,13300.1,5.12,59.2,137,7,11439.0,1195.0,307.1,359.1,-70.93084518300,45.70668314300,655717.0
2012,400,139,Les Sources,05,243,568592.6,220908.3,170430.2,9885.3,0.0,0.0,214935.0,12719.9,5.04,58.2,167,3,10982.5,930.0,487.8,201.6,-71.84356143590,45.73910778500,574566.0
2013,400,137,Les Sources,05,243,559921.0,232987.9,197304.7,19218.7,0.0,259.2,210263.3,12874.9,4.86,59.9,164,3,11285.0,948.3,450.1,96.3,-71.84356143590,45.73910778500,582386.0
2014,400,132,Les Sources,05,243,564877.4,205250.6,182042.1,19545.2,0.0,0.0,220600.7,12522.8,5.29,55.3,158,3,10710.8,868.3,666.7,277.1,-71.84356143590,45.73910778500,549527.0
2015,400,129,Les Sources,05,243,593111.9,232823.0,212555.6,25070.9,0.0,0.0,259341.4,12726.4,4.77,57.2,158,3,11430.2,801.4,266.1,228.7,-71.84356143590,45.73910778500,566594.0
2016,400,123,Les Sources,05,243,610262.1,246839.8,179818.3,1406.7,0.0,0.0,271784.9,11406.1,4.44,59.8,155,2,10555.0,621.3,157.0,72.9,-71.84356143590,45.73910778500,585317.0
2017,400,124,Les Sources,05,243,618243.7,295573.0,167249.3,7702.6,0.0,0.0,281654.0,12170.2,4.78,59.1,158,3,10712.5,710.4,196.2,341.8,-71.84356143600,45.73910778500,632163.0
2018,400,110,Les Sources,05,243,622543.8,313427.7,150075.1,10622.3,0.0,0.0,311698.5,11131.1,4.50,70.5,151,2,10362.8,461.6,79.9,226.8,-71.84356143600,45.73910778500,624273.0
2012,410,184,Le Haut-Saint-FranÃ§ois,05,410,663217.2,287043.7,250710.9,44987.1,0.0,3736.1,207718.1,18938.1,5.46,54.6,216,14,16056.3,1264.7,869.4,740.4,-71.53810261820,45.45073209820,738807.0
2013,410,182,Le Haut-Saint-FranÃ§ois,05,410,666176.3,331587.0,240297.4,25309.1,0.0,2795.1,222556.2,19090.4,5.64,53.8,217,12,15848.3,1420.4,1069.4,752.4,-71.53810261820,45.45073209820,772412.0
2014,410,182,Le Haut-Saint-FranÃ§ois,05,410,699141.2,306084.8,241217.9,6368.9,1856.1,4066.4,257489.3,18961.9,5.67,50.9,212,14,15622.8,1292.2,1009.0,849.1,-71.53810261820,45.45073209820,741814.0
2015,410,177,Le Haut-Saint-FranÃ§ois,05,410,659863.1,316881.2,234330.3,13944.4,0.0,0.0,248960.0,17634.4,5.58,53.0,202,14,14628.0,1169.7,806.5,797.0,-71.53810261820,45.45073209820,727784.0
2016,410,166,Le Haut-Saint-FranÃ§ois,05,410,695828.2,333159.0,216282.9,7865.1,0.0,3275.0,260400.5,18021.1,5.53,51.4,191,12,14777.5,1283.1,1045.2,535.2,-71.53810261820,45.45073209820,765312.0
2017,410,167,Le Haut-Saint-FranÃ§ois,05,410,674320.1,319835.7,202541.8,8523.7,0.0,0.0,238178.2,17701.5,5.67,50.4,192,11,14748.4,1169.0,1144.8,450.6,-71.53810261800,45.45073209800,755978.0
2018,410,169,Le Haut-Saint-FranÃ§ois,05,410,789907.2,315137.5,195670.8,30760.5,0.0,7838.0,297670.7,18191.1,5.46,56.4,194,11,15493.4,1300.6,317.5,1079.7,-71.53810261800,45.45073209800,799536.0
2012,420,201,Le Val-Saint-FranÃ§ois,05,378,865791.9,386896.8,211055.2,32002.8,0.0,3533.5,330151.3,19242.8,5.10,60.2,255,2,16851.8,1143.6,784.7,462.8,-72.11831197310,45.56471368230,919004.0
2013,420,208,Le Val-Saint-FranÃ§ois,05,378,874559.2,447068.9,253889.1,33431.0,0.0,5171.0,395344.7,19801.8,5.43,59.8,260,8,16827.6,1277.6,1080.3,616.3,-72.11831197310,45.56471368230,921112.0
2014,420,200,Le Val-Saint-FranÃ§ois,05,378,907171.7,509859.1,198141.4,24402.7,0.0,24328.0,425741.6,19473.5,5.83,57.2,251,8,15855.0,1379.2,1709.9,529.4,-72.11831197310,45.56471368230,966961.0
2015,420,193,Le Val-Saint-FranÃ§ois,05,378,909386.1,561204.1,190680.1,24626.3,0.0,10998.0,438174.5,19567.5,5.24,57.9,253,7,16676.9,1546.3,750.9,517.4,-72.11831197310,45.56471368230,1021418.0
2016,420,201,Le Val-Saint-FranÃ§ois,05,378,955399.6,502203.9,192252.3,18376.8,0.0,8982.0,481130.3,19451.8,5.18,54.7,259,8,16782.0,1372.9,949.8,347.2,-72.11831197310,45.56471368230,967491.0
2017,420,200,Le Val-Saint-FranÃ§ois,05,378,969135.7,527043.2,195363.6,32219.8,0.0,9621.0,484732.2,18797.5,5.27,59.1,255,9,16407.4,1289.0,744.5,356.5,-72.11831197300,45.56471368200,1001826.0
2018,420,188,Le Val-Saint-FranÃ§ois,05,378,1086542.3,560096.9,176210.5,23885.4,0.0,12974.0,583850.1,18742.5,5.23,66.7,256,7,16336.2,1175.6,273.4,957.1,-72.11831197300,45.56471368200,1049815.0
2012,430,24,Sherbrooke,05,86,90530.5,21657.2,35406.6,0.0,0.0,0.0,15716.8,2513.4,5.61,51.9,28,1,2082.7,224.3,79.8,126.5,-71.95186054420,45.42920316590,96471.0
2013,430,25,Sherbrooke,05,86,88722.4,50191.4,30183.2,26765.8,0.0,0.0,13684.6,2986.1,5.28,58.5,31,1,2518.7,296.5,83.7,87.2,-71.95186054420,45.42920316590,125229.0
2014,430,25,Sherbrooke,05,86,80377.7,72512.5,27636.9,16482.1,0.0,0.0,10055.5,3041.1,5.41,59.5,26,1,2562.2,239.7,162.8,76.5,-71.95186054420,45.42920316590,142835.0
2015,430,26,Sherbrooke,05,86,90602.3,60985.3,41585.5,24706.0,0.0,0.0,13045.1,3473.6,4.94,56.1,27,1,3031.6,305.9,73.6,62.5,-71.95186054420,45.42920316590,138543.0
2016,430,26,Sherbrooke,05,86,81995.1,53586.9,50837.2,31440.2,0.0,0.0,12019.6,3512.0,4.88,56.6,27,1,3055.1,340.8,93.0,23.1,-71.95186054420,45.42920316590,123562.0
2017,430,26,Sherbrooke,05,86,80554.6,45331.5,49574.6,41772.1,0.0,0.0,15140.0,3303.0,4.75,58.8,25,1,2931.8,280.4,54.8,36.1,-71.95186054400,45.42920316600,110746.0
2018,430,21,Sherbrooke,05,86,98973.5,33852.2,34140.4,64331.7,0.0,0.0,11983.9,3328.6,4.49,65.9,23,1,3019.7,276.0,17.4,15.6,-71.95186054400,45.42920316600,120842.0
2012,440,364,Coaticook,05,542,1724678.9,630785.7,476129.4,3752.6,0.0,5776.4,503579.0,37003.6,5.47,62.7,408,29,30077.6,4006.1,1793.9,740.9,-71.80563303640,45.15801069400,1846109.0
2013,440,370,Coaticook,05,542,1783192.5,661323.3,492747.9,6879.4,0.0,3317.3,530441.5,37069.9,5.45,62.5,413,32,30303.0,4311.3,1823.1,591.4,-71.80563303640,45.15801069400,1910757.0
2014,440,365,Coaticook,05,542,1774809.0,644874.7,411371.2,10460.7,1458.3,3366.0,518639.1,36237.6,5.52,60.9,407,28,29293.2,4321.1,1820.3,657.6,-71.80563303640,45.15801069400,1896220.0
2015,440,362,Coaticook,05,542,1797974.5,639083.8,458723.1,10162.1,1458.3,517.1,542457.0,35942.8,5.49,60.9,402,27,29441.1,4051.5,1479.1,933.4,-71.80563303640,45.15801069400,1892626.0
2016,440,358,Coaticook,05,542,1814644.2,664382.4,480399.0,16533.6,1458.3,4138.7,556578.3,36450.5,5.31,61.8,395,26,30241.5,4078.2,1464.5,589.4,-71.80563303640,45.15801069400,1916851.0
2017,440,346,Coaticook,05,542,1813255.7,689472.6,432666.4,10610.2,1591.0,2469.0,602437.7,37243.5,5.34,58.7,387,25,30943.6,4052.0,1625.4,614.3,-71.80563303600,45.15801069400,1896231.0
2018,440,347,Coaticook,05,542,1883996.9,691952.2,412084.3,32400.4,1476.1,2241.8,661754.8,36661.3,5.49,64.2,398,27,30538.6,3605.7,745.0,1772.1,-71.80563303600,45.15801069400,1910476.0
2012,450,64,MemphrÃ©magog,05,219,239646.3,102651.1,76914.8,4417.2,0.0,0.0,89936.5,5986.0,5.71,55.7,70,5,4728.0,625.0,398.1,126.2,-72.15783631730,45.17665367570,252361.0
2013,450,61,MemphrÃ©magog,05,219,238891.5,140246.6,97208.4,15110.0,0.0,0.0,90726.5,6982.3,5.83,56.2,67,6,5519.3,587.6,618.1,134.4,-72.15783631730,45.17665367570,288412.0
2014,450,60,MemphrÃ©magog,05,219,245170.0,108326.5,114363.4,10893.3,0.0,0.0,75812.2,7846.4,6.54,49.6,70,4,5867.5,680.5,1155.2,143.2,-72.15783631730,45.17665367570,277684.0
2015,450,60,MemphrÃ©magog,05,219,241685.8,187802.3,103965.6,8190.9,0.0,0.0,81823.8,8406.6,6.69,52.5,73,4,6145.8,724.8,1039.6,363.9,-72.15783631730,45.17665367570,347664.0
2016,450,63,MemphrÃ©magog,05,219,255180.2,231461.6,97247.3,10886.6,0.0,1612.1,87655.6,8208.5,5.77,58.6,75,5,6711.7,532.9,855.5,108.4,-72.15783631730,45.17665367570,397374.0
2017,450,62,MemphrÃ©magog,05,219,271290.6,239154.3,85752.5,8677.0,0.0,0.0,96333.8,8237.6,5.91,58.5,73,5,6688.3,534.1,792.7,222.4,-72.15783631700,45.17665367600,414111.0
2018,450,65,MemphrÃ©magog,05,219,272800.0,294643.4,79363.0,11591.8,0.0,0.0,99829.2,8649.7,5.89,64.6,80,6,7097.7,687.6,152.9,711.5,-72.15783631700,45.17665367600,467614.0
2012,660,4,MontrÃ©al,06,20,,,,,,,,,,,2,2,180.6,107.6,59.4,3.3,-73.81467127010,45.49803123160,
2013,660,4,MontrÃ©al,06,20,,,,,,,,,,,2,2,145.2,135.3,84.0,17.0,-73.81467127010,45.49803123160,
2014,660,3,MontrÃ©al,06,20,,,,,,,,,,,1,2,,,,,-73.81467127010,45.49803123160,
2015,660,2,MontrÃ©al,06,20,,,,,,,,,,,2,0,,,,,-73.81467127010,45.49803123160,
2016,660,3,MontrÃ©al,06,20,,,,,,,,,,,2,1,,,,,-73.81467127010,45.49803123160,
2017,660,3,MontrÃ©al,06,20,,,,,,,,,,,2,1,238.6,100.1,80.5,18.4,-73.81467127000,45.49803123200,
2018,660,4,MontrÃ©al,06,20,,,,,,,,,,,3,1,235.8,72.8,27.4,99.4,-73.81467127000,45.49803123200,
2012,800,78,Papineau,07,283,186989.1,36322.0,166072.2,13287.3,0.0,0.0,22897.3,9801.5,6.63,38.6,91,9,7587.2,614.6,308.0,1198.1,-75.12174890560,45.71410341310,200414.0
2013,800,74,Papineau,07,283,178763.1,34448.1,192032.9,11129.7,0.0,0.0,27531.6,9482.9,5.84,40.1,87,9,7818.2,690.2,301.9,672.6,-75.12174890560,45.71410341310,185680.0
2014,800,75,Papineau,07,283,203776.7,32511.9,201287.7,15259.1,0.0,0.0,31595.5,9156.2,5.57,43.1,80,9,7537.4,946.4,280.8,391.6,-75.12174890560,45.71410341310,204693.0
2015,800,75,Papineau,07,283,202846.1,29879.0,242336.1,6999.6,0.0,0.0,29931.2,9377.3,5.71,45.1,82,10,7696.4,809.0,446.1,425.8,-75.12174890560,45.71410341310,202794.0
2016,800,70,Papineau,07,283,180189.7,31530.0,240990.9,9093.9,0.0,0.0,21992.5,9383.1,5.43,44.2,78,9,8019.0,624.5,235.8,503.9,-75.12174890560,45.71410341310,189727.0
2017,800,70,Papineau,07,283,180239.4,30573.7,244721.6,18196.7,0.0,565.0,29326.5,9915.8,5.58,42.0,79,9,8374.7,679.9,235.6,625.7,-75.12174890600,45.71410341300,180922.0
2018,800,67,Papineau,07,283,173799.4,31754.5,224558.2,33046.7,0.0,734.5,27852.7,9790.9,5.17,44.4,81,8,8491.9,724.5,188.5,386.0,-75.12174890600,45.71410341300,176967.0
2012,810,13,Gatineau,07,85,23740.1,652.9,34610.6,0.0,0.0,0.0,652.9,1933.5,5.60,30.2,14,2,1303.1,62.1,6.8,136.3,-75.59977179220,45.52258853730,23740.0
2013,810,13,Gatineau,07,85,22102.8,904.9,31520.8,12086.4,0.0,0.0,122.2,1722.9,5.50,36.9,11,3,1531.0,20.2,0.0,171.7,-75.59977179220,45.52258853730,22886.0
2014,810,15,Gatineau,07,85,23349.5,9614.1,54889.7,0.0,0.0,0.0,0.0,2472.1,7.38,33.7,11,4,1827.0,165.5,12.2,467.4,-75.59977179220,45.52258853730,32964.0
2015,810,17,Gatineau,07,85,22346.2,9283.4,69974.6,112.3,0.0,0.0,21.5,2483.5,7.74,39.3,14,3,1661.1,129.5,11.7,494.4,-75.59977179220,45.52258853730,31608.0
