NUMÉRO_DE_LOT,ÉTAT,SERVICE_RESPONSABLE,ARRONDISSEMENT,NUMÉRO_UEV,PUBLICATION_ASSUJ,LOC_X,LOC_Y,LONGITUDE,LATITUDE
"1455798","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2076488","28556598",303968.51,5059241.89,-73.510672,45.673066
"1455799","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2076490","28556598",303953.55,5059245.49,-73.510864,45.673098
"1455800","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2076491","28577472",303938.58,5059249.11,-73.511057,45.673131
"1455801","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2076493","28577472",303923.62,5059252.71,-73.511249,45.673163
"1455803","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2078935","28584913",303887.47,5059222.88,-73.511712,45.672895
"1508940","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2102400","28556597",300220.38,5057142.23,-73.558761,45.654158
"1929989","Assujetti","Habitation","LaSalle","5123627","27822666",292719.26,5032290.63,-73.654393,45.430445
"1929993","Assujetti","Habitation","LaSalle","5123627","27822666",292673.72,5032701.5,-73.654986,45.434141
"1930202","Assujetti","Habitation","LaSalle","5123627","27822666",292819.37,5032587.47,-73.653121,45.433118
"1930247","Assujetti","Habitation","LaSalle","5123627","27822666",292677.09,5032312.3,-73.654933,45.430639
"1006302","Assujetti","Habitation","Anjou","2036629","27822670",300712.22,5050528.33,-73.552395,45.594648
"1110255","Assujetti","Habitation","Anjou","2167627","27821557",300635.17,5051848.23,-73.553393,45.606524
"4140628","Assujetti","Habitation","Sud-Ouest","1044030","27621806",297427.61,5037101.19,-73.594292,45.473798
"1380930","Assujetti","Habitation","Sud-Ouest","1019326","27650628",299587.29,5037609.11,-73.566676,45.478388
"1436053","Assujetti","Habitation","Sud-Ouest","1008410","27627148",297689.65,5035260.36,-73.590914,45.457236
"2536021","Assujetti","Habitation","Sud-Ouest","1015595","27618318",297030.2,5034384.8,-73.599332,45.449351
"4221003","Assujetti","Habitation","Sud-Ouest","1017441","27618330",297221.8,5034196.84,-73.59688,45.447661
"4140853","Assujetti","Habitation","Sud-Ouest","1045574","27635144",297782.26,5037517.33,-73.589762,45.477547
"1573350","Assujetti","Habitation","Sud-Ouest","1043255","27635150",298039.38,5037128.29,-73.586468,45.474048
"1381598","Assujetti","Habitation","Sud-Ouest","1021687","27621804",300182.35,5037741.31,-73.559065,45.479582
"1381868","Assujetti","Habitation","Sud-Ouest","1021612","27864043",300069.04,5037329.41,-73.560511,45.475875
"2281148","Assujetti","Habitation","Mercier - Hochelaga-Maisonneuve","2051065","27635160",302863.83,5047844.3,-73.524806,45.570505
"2242426","Assujetti","Habitation","Mercier - Hochelaga-Maisonneuve","2006826","27627146",303907.1,5050303.5,-73.511444,45.592636
"6085617","Assujetti","Habitation","Mercier - Hochelaga-Maisonneuve","2063175","27894229",301070.31,5044415.93,-73.547758,45.539648
"1293552","Assujetti","Habitation","Mercier - Hochelaga-Maisonneuve","2050455","27618301",303899.39,5051916.63,-73.511546,45.607152
"1879251","Assujetti","Habitation","Mercier - Hochelaga-Maisonneuve","2067301","27618312",302303.92,5046241.47,-73.531971,45.556081
"2332918","Assujetti","Habitation","Rosemont - La Petite-Patrie","3013404","27621803",297303.96,5043800.27,-73.595976,45.534078
"2335192","Assujetti","Habitation","Rosemont - La Petite-Patrie","3081135","27944485",296215.75,5043750.73,-73.609908,45.53362
"1885035","Assujetti","Habitation","Plateau-Mont-Royal","1096871","27855305",298910.17,5042904.28,-73.5754,45.526031
"1202500","Assujetti","Habitation","Plateau-Mont-Royal","1027520","27635158",298999.03,5042438.25,-73.574257,45.521838
"1192160","Assujetti","Habitation","Plateau-Mont-Royal","1031947","27618351",299291.1,5043783.46,-73.570533,45.533945
"1202591","Assujetti","Habitation","Plateau-Mont-Royal","1016695","27678019",298949.12,5042579.86,-73.574898,45.523112
"1868154","Assujetti","Habitation","Plateau-Mont-Royal","1002649","27627150",297415.59,5042168.23,-73.594522,45.519394
"1180704","Assujetti","Habitation","Ville-Marie","1020886","27618393",300178.07,5041180.06,-73.559153,45.510525
"5380924","Assujetti","Habitation","Ville-Marie","5229440","27618329",300354.88,5041820.98,-73.556896,45.516294
"1566801","Assujetti","Habitation","Ville-Marie","1022522","27618315",300757.6,5042217.86,-73.551744,45.519868
"1565305","Assujetti","Habitation","Ville-Marie","1040057","27871790",299742.44,5042318.52,-73.56474,45.520767
"1566614","Assujetti","Habitation","Ville-Marie","1040365","27618311",300465.7,5042061.22,-73.555479,45.518456
"1182005","Assujetti","Habitation","Ville-Marie","1091585","27621801",300382.01,5041513.36,-73.556546,45.513526
"1566651","Assujetti","Habitation","Ville-Marie","1021895","27618274",300525.1,5042135.01,-73.55472,45.519121
"1566621","Assujetti","Habitation","Ville-Marie","1040475","-",300500.23,5042108.5,-73.555038,45.518882
"1885066","Assujetti","Habitation","Ville-Marie","1032236","27618350",299762.06,5042651.07,-73.564492,45.523759
"1425191","Assujetti","Habitation","Ville-Marie","1018920","27618302",300897.55,5043488,-73.549963,45.531298
"1425174","Assujetti","Habitation","Ville-Marie","1116087","27627151",300767.22,5043569,-73.551632,45.532026
"1729230","Assujetti","Habitation","Ville-Marie","1022316","27650629",300707.9,5042706.34,-73.552384,45.524263
"1338832","Assujetti","Habitation","Ville-Marie","1037002","27618299",298642.75,5040134.79,-73.578789,45.501108
"1515663","Assujetti","Habitation","Ville-Marie","1037002","27618299",298653.8,5040150.7,-73.578648,45.501251
"1423789","Assujetti","Habitation","Ville-Marie","1022788","27618300",299995.09,5043664.79,-73.561519,45.532883
"2161344","Assujetti","Habitation","Ville-Marie","1021743","27618347",299659.19,5041716.12,-73.565799,45.515346
"2161986","Assujetti","Habitation","Ville-Marie","1003685","27635148",300072.82,5041931.24,-73.560507,45.517284
"2161816","Assujetti","Habitation","Ville-Marie","1003714","27618346",300020.26,5041965.42,-73.56118,45.517591
"2161699","Assujetti","Habitation","Ville-Marie","1039898","27635157",299928.01,5042070.24,-73.562362,45.518534
"2161686","Assujetti","Habitation","Ville-Marie","1003836","27621805",299894.22,5042109.85,-73.562795,45.51889
"2161682","Assujetti","Habitation","Ville-Marie","1003834","27621805",299885.24,5042110.88,-73.56291,45.518899
"2161786","Assujetti","Habitation","Ville-Marie","1122370","27635149",300012.45,5041902.74,-73.561279,45.517027
"2161358","Assujetti","Habitation","Ville-Marie","1021293","27635159",299657.37,5041768.21,-73.565823,45.515814
"2340047","Assujetti","Habitation","Ville-Marie","1003434","27635161",300326.11,5041671.17,-73.557262,45.514946
"2161765","Assujetti","Habitation","Ville-Marie","1003383","27618328",299949.9,5041912.93,-73.56208,45.517119
"2161650","Assujetti","Habitation","Ville-Marie","1003369","27621807",299903,5041943.27,-73.562681,45.517391
"2161385","Assujetti","Habitation","Ville-Marie","1003038","27635162",299727.62,5042005.88,-73.564926,45.517953
"1565327","Assujetti","Habitation","Ville-Marie","1039999","27635145",299826.91,5042235.78,-73.563657,45.520023
"2161315","Assujetti","Habitation","Ville-Marie","1040557","27621802",299608.66,5042044.53,-73.566449,45.5183
"1423803","Assujetti","Habitation","Ville-Marie","1026194","27618298",299951.76,5043634.2,-73.562073,45.532607
"1729416","Assujetti","Habitation","Ville-Marie","1026194","27618298",299971.89,5043630.1,-73.561815,45.53257
"1064542","Assujetti","Habitation","Ville-Marie","1037486","27618327",298423.85,5038992.27,-73.581575,45.490825
"1125066","Assujetti","Habitation","Saint-Léonard","2086931","27825746",299290.47,5049267.28,-73.570603,45.583291
"1125326","Assujetti","Habitation","Saint-Léonard","2086931","27825746",299331.1,5049265.44,-73.570083,45.583274
"1125521","Assujetti","Habitation","Saint-Léonard","2086931","27825746",299260.09,5049353.36,-73.570994,45.584065
"1125816","Assujetti","Habitation","Saint-Léonard","2086931","27825746",299324.88,5049392.97,-73.570164,45.584422
"1126023","Assujetti","Habitation","Saint-Léonard","2086931","27825746",299387.32,5049400.44,-73.569364,45.58449
"1434586","Assujetti","Habitation","Ahuntsic-Cartierville","3122779","27822669",288487.98,5043428.99,-73.70884,45.530587
"1434587","Assujetti","Habitation","Ahuntsic-Cartierville","3122785","27822669",288467.62,5043390.46,-73.709099,45.530239
"1434588","Assujetti","Habitation","Ahuntsic-Cartierville","3122787","27822669",288445.46,5043359.68,-73.709382,45.529962
"1434589","Assujetti","Habitation","Ahuntsic-Cartierville","3122789","27822669",288424.31,5043335.46,-73.709652,45.529744
"1434592","Assujetti","Habitation","Ahuntsic-Cartierville","3122781","27822669",288505.07,5043413.82,-73.70862,45.530451
"1434854","Assujetti","Habitation","Ahuntsic-Cartierville","3122791","27822669",288401.01,5043315.14,-73.709949,45.52956
"1434855","Assujetti","Habitation","Ahuntsic-Cartierville","3122793","27822669",288382.82,5043291.19,-73.710181,45.529344
"2173954","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042664","27822665",294748.1,5041203.59,-73.628647,45.51068
"2173966","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042734","27822665",294761.23,5041124.33,-73.628477,45.509967
"2173967","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042733","27822665",294769.68,5041137.64,-73.62837,45.510087
"2173988","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3073575","27822665",294673.07,5040994.39,-73.629603,45.508797
"2173990","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042740","27822665",294669.63,5040968.88,-73.629647,45.508567
"2173995","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042658","27822665",294682.39,5041101.19,-73.629486,45.509758
"2174003","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042464","27822665",294445.72,5040917.74,-73.632511,45.508103
"2174009","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3073579","27822665",294610.58,5041060.07,-73.630404,45.509387
"2174017","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042544","27822665",294695.24,5041194.39,-73.629323,45.510596
"2174020","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042545","27822665",294683.45,5041175.84,-73.629474,45.510429
"2174022","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042547","27822665",294647.8,5041118.6,-73.629929,45.509914
"2174023","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042548","27822665",294593.45,5041031.95,-73.630623,45.509133
"2174024","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042549","27822665",294578.95,5041011.44,-73.630808,45.508949
"2174025","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042546","27822665",294663.12,5041163.74,-73.629734,45.51032
"2174182","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042475","27822665",294627.93,5041199.95,-73.630185,45.510646
"2174196","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042483","27822665",294723,5041349.44,-73.628971,45.511992
"2174200","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042484","27822665",294738.99,5041372.79,-73.628767,45.512202
"2174493","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042240","27822665",294312.93,5040879.52,-73.63421,45.507758
"2174494","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042239","27822665",294296.55,5040853.48,-73.634419,45.507523
"2174495","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042238","27822665",294285.35,5040835.68,-73.634562,45.507363
"2174497","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042559","27822665",294423.93,5040791.48,-73.632787,45.506967
"2174498","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3073467","27822665",294436.46,5040811.15,-73.632627,45.507144
"2174499","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3109574","27822665",294198.15,5040428.84,-73.635669,45.5037
"2482624","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042546","27822665",294674.32,5041149.07,-73.62959,45.510188
"2173549","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3007914","27821555",294602.61,5040067.72,-73.630485,45.500457
"2647800","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","5005050","27822668",294708.07,5038345.49,-73.629101,45.484961
"3322780","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3066623","27822664",293866.04,5036300.34,-73.639827,45.466545
"6410358","Assujetti","Habitation","Saint-Léonard","2086931","27825746",299291.42,5049401.58,-73.570593,45.584499
"6410357","Assujetti","Habitation","Saint-Léonard","2086931","27825746",299290.89,5049424.78,-73.5706,45.584708
"6410356","Assujetti","Habitation","Saint-Léonard","2086931","27825746",299272.33,5049392.28,-73.570837,45.584415
"1126165","Assujetti","Habitation","Saint-Léonard","2086931","27825746",299367.88,5049366.59,-73.569613,45.584185
"1126175","Assujetti","Habitation","Saint-Léonard","2086931","27825746",299355.05,5049365.35,-73.569777,45.584174
"6481277","Assujetti","Grands parcs","Senneville","4085732","25807891",269011.4,5033666.24,-73.957477,45.442012
"1434856","Assujetti","Habitation","Ahuntsic-Cartierville","3122796","27822669",288353.3,5043274.73,-73.710559,45.529195
"1434859","Assujetti","Habitation","Ahuntsic-Cartierville","3122783","27822669",288370.36,5043259.52,-73.71034,45.529059
"1503857","Assujetti","Habitation","Rivière-des-Prairies - Pointe-aux-Trembles","2096596","27822667",305400.88,5056790.29,-73.492291,45.651006
"1503868","Assujetti","Habitation","Rivière-des-Prairies - Pointe-aux-Trembles","2096596","27822667",305493.14,5056830.61,-73.491107,45.651369
"1504340","Assujetti","Habitation","Rivière-des-Prairies - Pointe-aux-Trembles","2096596","27822667",305514.26,5056960.83,-73.490836,45.652541
"2174094","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","5015367","27821556",294503.26,5041394.35,-73.631785,45.512393
"2606899","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3002715","27837877",295715.07,5036385.51,-73.616182,45.467338
"2173848","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3073589","27822665",294599.7,5041153.93,-73.630545,45.510231
"2173948","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042741","27822665",294654.07,5040955.57,-73.629845,45.508447
"2173949","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042659","27822665",294693.24,5041117.51,-73.629347,45.509905
"2173950","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042660","27822665",294704.26,5041134.63,-73.629207,45.510059
"2173952","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042662","27822665",294726.06,5041169.14,-73.628928,45.51037
"2173953","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3042663","27822665",294737.04,5041186.4,-73.628788,45.510525
"1110256","Assujetti","Habitation","Anjou","2167627","27821557",300595.13,5051849.42,-73.553907,45.606535
"1113511","Assujetti","Habitation","Anjou","2167627","27821557",300623.46,5051800.43,-73.553543,45.606094
"1113512","Assujetti","Habitation","Anjou","2167627","27821557",300587.36,5051801.58,-73.554006,45.606104
"1113651","Assujetti","Habitation","Anjou","2167627","27821557",300582.75,5051755.64,-73.554065,45.605691
"1113652","Assujetti","Habitation","Anjou","2167627","27821557",300615.69,5051754.16,-73.553642,45.605678
"1122004","Assujetti","Habitation","Saint-Léonard","2086931","27825746",299374.55,5049331.61,-73.569527,45.58387
"1122214","Assujetti","Habitation","Saint-Léonard","2086931","27825746",299317.71,5049332.54,-73.570255,45.583878
"1123026","Assujetti","Habitation","Saint-Léonard","2086931","27825746",299239.04,5049320.5,-73.571263,45.583769
"1123104","Assujetti","Habitation","Saint-Léonard","2086931","27825746",299280.08,5049296.77,-73.570737,45.583556
"1123105","Assujetti","Habitation","Saint-Léonard","2086931","27825746",299220.52,5049292.2,-73.5715,45.583514
"2334572","Assujetti","Habitation","Plateau-Mont-Royal","1031437","27719788",296987.7,5043019.67,-73.600013,45.527051
"2334575","Assujetti","Habitation","Plateau-Mont-Royal","1031430","27719788",296944.04,5043048.28,-73.600572,45.527308
"2334576","Assujetti","Habitation","Plateau-Mont-Royal","1031429","27719788",296937.82,5043052.35,-73.600652,45.527344
"2334577","Assujetti","Habitation","Plateau-Mont-Royal","1031427","27719788",296931.6,5043056.45,-73.600732,45.527381
"2334578","Assujetti","Habitation","Plateau-Mont-Royal","1031425","27688248",296925.34,5043060.53,-73.600812,45.527417
"3105679","Assujetti","Habitation","Plateau-Mont-Royal","1031423","27688248",296919.14,5043064.59,-73.600892,45.527454
"2336275","Assujetti","Habitation","Plateau-Mont-Royal","1031460","27688248",297086.6,5042960.59,-73.598746,45.52652
"2334573","Assujetti","Habitation","Plateau-Mont-Royal","1031435","27719788",296968.03,5043032.58,-73.600265,45.527167
"3361540","Assujetti","Habitation","Plateau-Mont-Royal","1023519","27678066",299831.57,5044134.51,-73.563617,45.537108
"3361541","Assujetti","Habitation","Plateau-Mont-Royal","1026368","25682557",299841.94,5044150.29,-73.563484,45.53725
"3361542","Assujetti","Habitation","Plateau-Mont-Royal","1026366","2768852",299850.03,5044163.63,-73.563381,45.537371
"1585834","Assujetti","Habitation","Plateau-Mont-Royal","1033716","27667068",299211.16,5044415.68,-73.571564,45.539634
"2334638","Assujetti","Habitation","Rosemont - La Petite-Patrie","3080944","27894232",296596.9,5043327.2,-73.605021,45.529813
"1867505","Assujetti","Habitation","Rosemont - La Petite-Patrie","3078952","27667088",296098.32,5043364.67,-73.611405,45.530144
"1867999","Assujetti","Habitation","Rosemont - La Petite-Patrie","3081052","27455075",296023.81,5043241.36,-73.612357,45.529034
"1868744","Assujetti","Habitation","Rosemont - La Petite-Patrie","3078515","27695857",295851.19,5043171.01,-73.614565,45.528399
"6037059","Assujetti","Habitation","Rosemont - La Petite-Patrie","3107476","27439759",295770.45,5043085.62,-73.615597,45.527629
"3795031","Assujetti","Habitation","Rosemont - La Petite-Patrie","3013437","27447909",297673.61,5044086.48,-73.591248,45.536657
"1867558","Assujetti","Habitation","Rosemont - La Petite-Patrie","3079192","27667090",296408.13,5043257.61,-73.607437,45.529185
"2091659","Assujetti","Habitation","Sud-Ouest","1005837","27482277",297484.35,5036043.9,-73.593551,45.464285
"1417007","Assujetti","Grands parcs","Beaconsfield","4067729","24368019",273987.65,5032671.02,-73.893806,45.433293
"1417013","Assujetti","Grands parcs","Beaconsfield","4067742","24294401",273963.87,5032771.56,-73.894116,45.434197
"1417014","Assujetti","Grands parcs","Beaconsfield","4067744","24294382",273959.41,5032790.2,-73.894174,45.434365
"1417015","Assujetti","Grands parcs","Beaconsfield","4067745","24294381",273957.72,5032797.64,-73.894196,45.434432
"1417018","Assujetti","Grands parcs","Beaconsfield","4067749","24315868",273949.81,5032831.12,-73.8943,45.434732
"1417019","Assujetti","Grands parcs","Beaconsfield","4067751","24370261",273947.16,5032842.31,-73.894334,45.434833
"1417020","Assujetti","Grands parcs","Beaconsfield","4067753","24315868",273949.15,5032861.5,-73.89431,45.435006
"1417044","Assujetti","Grands parcs","Beaconsfield","4068425","24378270",274242.38,5032463.31,-73.890537,45.431436
"1418833","Assujetti","Grands parcs","Beaconsfield",,"24315868",273954.59,5032888.28,-73.894242,45.435247
"1991020","Assujetti","Grands parcs","Pierrefonds - Roxboro","5191512","24294404",270638.35,5034746.02,-73.936756,45.451809
"2135322","Assujetti","Urbanisme","Lachine","5063015","24347767",291758.39,5032569.94,-73.666681,45.432941
"1703901","Assujetti","Urbanisme","Lachine","5063015","24347767",291868.02,5032601.83,-73.665281,45.43323
"2331581","Assujetti","Urbanisme","Lachine","5063015","24347767",291827.67,5032522.13,-73.665794,45.432512
"1705857","Assujetti","Urbanisme","Lachine","5078996","24347766",291858.7,5032934.31,-73.665408,45.436222
"1270063","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2143714","24276286",303587.31,5059223.84,-73.515565,45.672903
"1455810","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5027681","24276286",303794.72,5059287.81,-73.512903,45.673479
"1455813","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5027681","24276286",303906.88,5059320.04,-73.511464,45.673769
"1455822","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5027681","24276286",303948.81,5059333.74,-73.510925,45.673892
"1455894","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5027681","24276286",304034.62,5059359.36,-73.509824,45.674123
"1455895","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5027681","24276286",304098.09,5059377.62,-73.509009,45.674287
"1455898","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5027681","24276286",304145.56,5059392.6,-73.5084,45.674422
"1874359","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2052946","24276289",302691.06,5060752.13,-73.527075,45.686653
"1874441","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2104996","24276287",302405.21,5059926.27,-73.530741,45.67922
"4622944","Assujetti","Grands parcs","Pierrefonds - Roxboro","5211929","24259051",284135.67,5040602.88,-73.764442,45.505041
"4622945","Assujetti","Grands parcs","Pierrefonds - Roxboro","5085944","24259051",284128.58,5040595.03,-73.764532,45.50497
"6008323","Assujetti","Grands parcs","Pierrefonds - Roxboro","5085946","24259051",284157.54,5040647.73,-73.764164,45.505445
"6008324","Assujetti","Grands parcs","Pierrefonds - Roxboro","5085947","24259051",284161.2,5040631.11,-73.764116,45.505296
"6008325","Assujetti","Grands parcs","Pierrefonds - Roxboro","5211930","24259051",284147.42,5040613.44,-73.764292,45.505136
"1977324","Assujetti","Grands parcs","Pierrefonds - Roxboro","4018536","24278907",271498.27,5037161.57,-73.925925,45.473586
"1978978","Assujetti","Grands parcs","Pierrefonds - Roxboro","4015425","24278908",271955.75,5036113.21,-73.920004,45.464175
"4589367","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","5029972","24256612",272677.61,5036921.76,-73.910826,45.471484
"4589390","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4131131","24259052",272875.71,5036937.21,-73.908294,45.471632
"4590015","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4124255","24259049",271216.95,5037777.29,-73.929565,45.479113
"4590104","Assujetti","Grands parcs","L'Île-Bizard - Sainte-Geneviève","4055801","24259060",271646.98,5037617.23,-73.924054,45.477694
"1110468","Assujetti","Grands parcs","Anjou","2026720","24253075",301070.41,5053604.56,-73.547827,45.62233
"1144214","Assujetti","Grands parcs","Anjou","5037836","24253264",299756.43,5053896.41,-73.56468,45.624948
"1144243","Assujetti","Grands parcs","Anjou","5004186","24253263",298904.99,5054357.9,-73.575605,45.629094
"1144260","Assujetti","Grands parcs","Anjou","5037836","24253264",299784.27,5053966.62,-73.564324,45.62558
"1251075","Assujetti","Grands parcs","Montréal-Est","5202638","24253075",301298.33,5053927.46,-73.544907,45.625237
"1406504","Assujetti","Grands parcs","Anjou","5004186","24253263",298943.42,5054278.36,-73.575111,45.628379
"1423023","Assujetti","Grands parcs","Anjou","5037836","24253264",299841.54,5053845.39,-73.563588,45.62449
"3192970","Assujetti","Grands parcs","Montréal-Est","5108703","24253260",301045.9,5054178.77,-73.548146,45.627497
"5456665","Assujetti","Grands parcs","Montréal-Est","2102140","24253074",299525.43,5054924.5,-73.567654,45.634198
"5456666","Assujetti","Grands parcs","Montréal-Est","2150727","24253074",299571.24,5054965.09,-73.567066,45.634563
"5990920","Assujetti","Grands parcs","Anjou","5256558","24278905",300465.62,5053724.44,-73.555584,45.623406
"1055834","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2107888","24256614",295771.87,5055065.85,-73.615801,45.635431
"1055899","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2107891","24278909",295931.65,5055279.31,-73.613755,45.637354
"1276343","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2107908","24256613",296397.95,5055598.85,-73.607779,45.640235
"1276347","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2107892","24469044",296383.8,5055636.74,-73.607962,45.640576
"1276349","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2107913","24285787",296318.69,5055611.29,-73.608796,45.640346
"1276351","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2107903","24285787",296465.35,5055626.05,-73.606915,45.64048
"1279562","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2107892","24259050",296352.47,5055717.44,-73.608365,45.641301
"1169309","Assujetti","Grands parcs","Pierrefonds - Roxboro","5020394","24253076",277799.81,5041815.6,-73.845587,45.515737
"1172398","Assujetti","Grands parcs","Pierrefonds - Roxboro","5020393","24253076",277922.41,5041793.98,-73.844017,45.515547
"2744688","Assujetti","Grands parcs","Pierrefonds - Roxboro","5094278","24458884",279541.35,5041547.19,-73.823283,45.513387
"2455247","Assujetti","Grands parcs","Saint-Laurent","5081278","28277413",284386.5,5037428.25,-73.7611,45.476482
"3178143","Assujetti","Grands parcs","Saint-Laurent","5110237","28277413",284432.18,5037447.55,-73.760516,45.476657
"1416974","Assujetti","Grands parcs","Beaconsfield","4067669","24294403",273942.34,5032570.55,-73.894379,45.432387
"1416975","Assujetti","Grands parcs","Beaconsfield","4067671","24531556",273932.58,5032615.27,-73.894506,45.432789
"1416978","Assujetti","Grands parcs","Beaconsfield","4067676","24315868",273924.69,5032652.54,-73.894609,45.433124
"1416982","Assujetti","Grands parcs","Beaconsfield","4067683","24276297",273915.62,5032695.39,-73.894728,45.43351
"1416985","Assujetti","Grands parcs","Beaconsfield","4067689","24276297",273908.56,5032728.94,-73.89482,45.433811
"1416988","Assujetti","Grands parcs","Beaconsfield","4067694","24276298",273901.86,5032760.63,-73.894908,45.434096
"1416990","Assujetti","Grands parcs","Beaconsfield","5037762","24347768",273897.15,5032782.99,-73.89497,45.434297
"1416991","Assujetti","Grands parcs","Beaconsfield","4067700","24288080",273894.04,5032797.95,-73.89501,45.434432
"1416992","Assujetti","Grands parcs","Beaconsfield","4067701","24531556",273890.11,5032816.54,-73.895062,45.434599
"1417006","Assujetti","Grands parcs","Beaconsfield","4067727","24294402",273990.23,5032659.85,-73.893772,45.433193
"3362070","Assujetti","Urbanisme","Rosemont - La Petite-Patrie","5014514","24401633",299072.66,5044615.94,-73.57334,45.541435
"1584977","Assujetti","Urbanisme","Rosemont - La Petite-Patrie","1033712","24401633",298930.73,5044641.2,-73.575158,45.541661
"3362007","Assujetti","Urbanisme","Plateau-Mont-Royal","1123980","24401633",299552.73,5044513.63,-73.567192,45.540518
"3362057","Assujetti","Urbanisme","Plateau-Mont-Royal","1123980","24401633",299742.6,5044480.16,-73.56476,45.540218
"3362058","Assujetti","Urbanisme","Plateau-Mont-Royal","5274463","24401634",299851.12,5044467.73,-73.56337,45.540107
"1360265","Assujetti","Urbanisme","Mercier - Hochelaga-Maisonneuve","2050834","24420396",302406.4,5047001.69,-73.530662,45.562922
"1361070","Assujetti","Urbanisme","Mercier - Hochelaga-Maisonneuve","5037805","24401635",302869.53,5047185.43,-73.52473,45.564577
