VELO_EXP,WKT 
Vélo-Express Dagenais projeté,"LINESTRING  ( 290375.40370000 5052640.20050000, 290387.56570000 5052625.78610000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 292417.50120000 5052728.63610000, 292438.96000000 5052740.97100000, 292441.42610000 5052743.40140000, 292442.83180000 5052745.25510000, 292443.89380000 5052747.76360000, 292444.34170000 5052749.87630000, 292444.51760000 5052751.69250000, 292443.28340000 5052758.94620000, 292443.26640000 5052761.45930000, 292443.69640000 5052763.80980000, 292444.43420000 5052765.98120000, 292445.87410000 5052768.11340000, 292448.20170000 5052770.18380000, 292452.25760000 5052772.51320000, 292465.67620000 5052780.47880000, 292467.16510000 5052781.47410000, 292468.83790000 5052783.20070000, 292470.15390000 5052784.88010000, 292472.58590000 5052788.39540000, 292473.76680000 5052789.56990000, 292475.08790000 5052790.35010000, 292595.55290000 5052857.80820000, 292624.47320000 5052874.12450000, 292628.27990000 5052876.34320000, 292629.98370000 5052877.17070000, 292631.68260000 5052877.57470000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 276977.34840000 5044511.64790000, 276979.03330000 5044513.93480000, 276980.46180000 5044515.97430000, 276981.58240000 5044518.19280000, 276982.28610000 5044520.08560000, 276986.31240000 5044533.30420000, 276987.10430000 5044535.61380000, 276988.13860000 5044537.51310000, 276989.34720000 5044539.29670000, 276994.22370000 5044544.77340000, 277002.50640000 5044553.51100000, 277005.85410000 5044557.06190000, 277007.89670000 5044559.49710000, 277009.62640000 5044561.68800000, 277013.06460000 5044566.96430000, 277016.48390000 5044572.24980000, 277019.48090000 5044575.93450000, 277022.27600000 5044579.12560000, 277025.84170000 5044582.83460000, 277029.79000000 5044586.59100000, 277034.33260000 5044590.88340000, 277046.95470000 5044602.33970000, 277052.42300000 5044607.04390000, 277056.97660000 5044610.89050000, 277061.02830000 5044614.18680000, 277074.79380000 5044625.36130000, 277083.01640000 5044632.45700000, 277091.52230000 5044639.94190000, 277097.43990000 5044645.15290000, 277102.50090000 5044649.52660000, 277107.61190000 5044653.84350000, 277125.15310000 5044668.13580000, 277147.84810000 5044686.79040000, 277170.97800000 5044705.53290000, 277197.56110000 5044726.30200000, 277203.42370000 5044731.14620000, 277206.73030000 5044733.89750000, 277210.13920000 5044736.63270000, 277215.04540000 5044740.13000000, 277220.02160000 5044743.43030000, 277224.55800000 5044746.21910000, 277231.38650000 5044749.71950000, 277238.23600000 5044753.30800000, 277253.84230000 5044761.05220000, 277259.54300000 5044763.64740000, 277264.55210000 5044766.14590000, 277270.15540000 5044769.18070000, 277285.47500000 5044778.04390000, 277296.70250000 5044784.20160000, 277305.72980000 5044789.40780000, 277311.95860000 5044792.93120000, 277318.00820000 5044796.14670000, 277324.07580000 5044799.12450000, 277328.48020000 5044801.22260000, 277339.31230000 5044806.16000000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 281598.38970000 5044132.13190000, 281603.98430000 5044136.94660000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 280171.63900000 5043472.87660000, 280240.70000000 5043499.90000000, 280240.80000000 5043499.90000000, 280241.00000000 5043500.00000000, 280279.70000000 5043515.30000000, 280296.80000000 5043522.20000000, 280314.80000000 5043529.30000000, 280325.90000000 5043533.60000000, 280343.70000000 5043540.60000000, 280352.00000000 5043543.90000000, 280376.90000000 5043553.90000000, 280387.40000000 5043557.60000000, 280391.70000000 5043559.00000000, 280423.40000000 5043569.30000000, 280475.60000000 5043586.50000000, 280502.00000000 5043595.30000000, 280507.90000000 5043597.40000000, 280528.50000000 5043603.60000000, 280556.80000000 5043611.90000000, 280582.20000000 5043619.50000000, 280588.50000000 5043621.30000000, 280600.90000000 5043624.80000000, 280617.00000000 5043629.80000000, 280634.40000000 5043634.80000000, 280654.40000000 5043640.60000000, 280676.90000000 5043647.20000000, 280700.80000000 5043654.20000000, 280724.50000000 5043661.50000000, 280742.00000000 5043666.80000000, 280759.70000000 5043672.30000000, 280784.70000000 5043680.30000000, 280804.40000000 5043686.40000000, 280820.80000000 5043691.70000000, 280831.10000000 5043695.10000000, 280854.90000000 5043702.40000000, 280874.80000000 5043708.90000000, 280897.30000000 5043716.10000000, 280916.20000000 5043722.10000000, 280934.50000000 5043727.80000000, 280948.00000000 5043732.50000000, 280965.60000000 5043738.80000000, 280980.60000000 5043744.30000000, 281003.80000000 5043753.40000000, 281010.50000000 5043756.00000000, 281025.50000000 5043762.50000000, 281044.30000000 5043770.90000000, 281050.70000000 5043773.70000000, 281053.20000000 5043774.80000000, 281076.00000000 5043786.30000000, 281077.90000000 5043787.30000000, 281079.90000000 5043788.40000000, 281082.90000000 5043790.00000000, 281095.80000000 5043797.00000000, 281109.70000000 5043804.90000000, 281122.60000000 5043812.10000000, 281135.20000000 5043819.80000000, 281150.80000000 5043829.50000000, 281165.90000000 5043839.10000000, 281179.40000000 5043847.40000000, 281195.30000000 5043857.60000000, 281208.80000000 5043866.20000000, 281226.00000000 5043876.90000000, 281240.00000000 5043885.40000000, 281252.30000000 5043892.90000000, 281264.70000000 5043900.60000000, 281275.60000000 5043907.10000000, 281288.00000000 5043914.50000000, 281303.70000000 5043923.90000000, 281313.70000000 5043929.80000000, 281324.30000000 5043936.10000000, 281336.30000000 5043943.30000000, 281350.40000000 5043952.00000000, 281365.30000000 5043961.10000000, 281369.50000000 5043963.60000000, 281378.10000000 5043968.70000000, 281395.40000000 5043979.20000000, 281401.30000000 5043982.70000000, 281408.70000000 5043987.10000000, 281427.30000000 5043998.30000000, 281430.00000000 5044000.00000000, 281440.30000000 5044006.50000000, 281452.40000000 5044014.60000000, 281457.20000000 5044017.90000000, 281478.00000000 5044033.10000000, 281483.20000000 5044037.00000000, 281488.10000000 5044040.60000000, 281500.00000000 5044049.90000000, 281525.40000000 5044069.70000000, 281554.30000000 5044093.80000000, 281590.80000000 5044125.60000000, 281598.38970000 5044132.13190000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 289918.23480000 5053212.77680000, 289904.51250000 5053200.84390000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 289558.45100000 5052843.69050000, 289610.54390000 5052910.65700000, 289648.02610000 5052955.35510000, 289648.14840000 5052955.47650000, 289648.38230000 5052955.70900000, 289649.15290000 5052956.47040000, 289649.94530000 5052957.24750000, 289650.72310000 5052958.00440000, 289651.79110000 5052959.03460000, 289652.38670000 5052959.60460000, 289653.16950000 5052960.34910000, 289653.84960000 5052960.99120000, 289654.95940000 5052962.03050000, 289655.75010000 5052962.76420000, 289656.27650000 5052963.24970000, 289657.07170000 5052963.97870000, 289658.25350000 5052965.05190000, 289659.05640000 5052965.77460000, 289659.44500000 5052966.12260000, 289660.25370000 5052966.84250000, 289661.05660000 5052967.55170000, 289661.87380000 5052968.26810000, 289662.69120000 5052968.97960000, 289663.53560000 5052969.70900000, 289664.34160000 5052970.39990000, 289665.18700000 5052971.11930000, 289665.73620000 5052971.58360000, 289666.54640000 5052972.26460000, 289667.38950000 5052972.96780000, 289668.20800000 5052973.64530000, 289669.06480000 5052974.34920000, 289669.90020000 5052975.03040000, 289670.72920000 5052975.70120000, 289671.58890000 5052976.39160000, 289672.44670000 5052977.07520000, 289673.28870000 5052977.74120000, 289674.13930000 5052978.40870000, 289675.01270000 5052979.08890000, 289675.86100000 5052979.74460000, 289676.72000000 5052980.40330000, 289677.89280000 5052981.29470000, 289775.48220000 5053055.18660000, 289777.07040000 5053056.40760000, 289778.34040000 5053057.38860000, 289779.62120000 5053058.38320000, 289780.86700000 5053059.35570000, 289782.13880000 5053060.35340000, 289783.42460000 5053061.36720000, 289784.63150000 5053062.32370000, 289784.64870000 5053062.33760000, 289785.89110000 5053063.32710000, 289785.90450000 5053063.33790000, 289787.64690000 5053064.73310000, 289788.61990000 5053065.51720000, 289790.01470000 5053066.64670000, 289791.26480000 5053067.66450000, 289792.57590000 5053068.73760000, 289792.58380000 5053068.74410000, 289793.69990000 5053069.66180000, 289794.90850000 5053070.66010000, 289794.91150000 5053070.66250000, 289796.14910000 5053071.68990000, 289796.15610000 5053071.69570000, 289797.40560000 5053072.73830000, 289798.62430000 5053073.76010000, 289798.62810000 5053073.76340000, 289799.86330000 5053074.80430000, 289801.08000000 5053075.83490000, 289802.32120000 5053076.89140000, 289803.53300000 5053077.92820000, 289804.75830000 5053078.98170000, 289804.76170000 5053078.98480000, 289805.98580000 5053080.04260000, 289807.17660000 5053081.07670000, 289807.19020000 5053081.08860000, 289808.43380000 5053082.17410000, 289809.62180000 5053083.21630000, 289809.62520000 5053083.21930000, 289811.07890000 5053084.50150000, 289812.16670000 5053085.46600000, 289812.16950000 5053085.46850000, 289813.37640000 5053086.54370000, 289814.57310000 5053087.61500000, 289815.80290000 5053088.72130000, 289816.97930000 5053089.78500000, 289818.18420000 5053090.87990000, 289819.24180000 5053091.84580000, 289820.26360000 5053092.78410000, 289822.24150000 5053094.61010000, 289823.40480000 5053095.69030000, 289824.55050000 5053096.75960000, 289825.67770000 5053097.81690000, 289826.13510000 5053098.24760000, 289847.48520000 5053119.30760000, 289850.17950000 5053121.93960000, 289915.85150000 5053186.12160000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 289904.51250000 5053200.84390000, 289885.27540000 5053184.11520000, 289883.29540000 5053182.24140000, 289881.34650000 5053180.39160000, 289881.34440000 5053180.38970000, 289879.35850000 5053178.49920000, 289877.40610000 5053176.63500000, 289875.47380000 5053174.78450000, 289873.55450000 5053172.94110000, 289871.60320000 5053171.06150000, 289869.67050000 5053169.19390000, 289867.50390000 5053167.09430000, 289865.56910000 5053165.21320000, 289863.79230000 5053163.48080000, 289861.94910000 5053161.67880000, 289861.93500000 5053161.66500000, 289859.97830000 5053159.74620000, 289858.09370000 5053157.89280000, 289858.08400000 5053157.88310000, 289856.09790000 5053155.92410000, 289855.12810000 5053154.96520000, 289853.25050000 5053153.10460000, 289851.57260000 5053151.43750000, 289849.65640000 5053149.52860000, 289847.76160000 5053147.63510000, 289846.62670000 5053146.49840000, 289835.02920000 5053134.50090000, 289813.71910000 5053113.88340000, 289812.23790000 5053112.51250000, 289811.01480000 5053111.38670000, 289809.15860000 5053109.68800000, 289807.88310000 5053108.52780000, 289806.62590000 5053107.38960000, 289805.37720000 5053106.26450000, 289804.12830000 5053105.14460000, 289802.87200000 5053104.02350000, 289801.60680000 5053102.89950000, 289800.25510000 5053101.70480000, 289798.99140000 5053100.59350000, 289797.79100000 5053099.54250000, 289796.54020000 5053098.45270000, 289794.94010000 5053097.06600000, 289793.70950000 5053096.00530000, 289792.42040000 5053094.89940000, 289791.12160000 5053093.79060000, 289789.85380000 5053092.71350000, 289788.55430000 5053091.61480000, 289786.66040000 5053090.02310000, 289785.36730000 5053088.94240000, 289784.39840000 5053088.13600000, 289783.10770000 5053087.06620000, 289781.80120000 5053085.98880000, 289780.52620000 5053084.94230000, 289779.21790000 5053083.87410000, 289777.90810000 5053082.80940000, 289776.58050000 5053081.73520000, 289775.27170000 5053080.68150000, 289773.94820000 5053079.62140000, 289772.63240000 5053078.57240000, 289771.12690000 5053077.37870000, 289769.80340000 5053076.33450000, 289768.65720000 5053075.43430000, 289767.34040000 5053074.40500000, 289766.00770000 5053073.36830000, 289764.76420000 5053072.40550000, 289763.22730000 5053071.22090000, 289759.52030000 5053068.31540000, 289720.85620000 5053039.06720000, 289699.31790000 5053022.66610000, 289699.17050000 5053022.55240000, 289699.10170000 5053022.50130000, 289683.20940000 5053010.40720000, 289670.01910000 5053000.41460000, 289665.91970000 5052997.21500000, 289665.30850000 5052996.75130000, 289664.43900000 5052996.08740000, 289663.52450000 5052995.38290000, 289662.66220000 5052994.71520000, 289661.78560000 5052994.03140000, 289660.92590000 5052993.35570000, 289660.92170000 5052993.35240000, 289660.03250000 5052992.64850000, 289658.87100000 5052991.72080000, 289658.00470000 5052991.02310000, 289657.14070000 5052990.32220000, 289656.58350000 5052989.86730000, 289655.72890000 5052989.16560000, 289654.87210000 5052988.45690000, 289654.00920000 5052987.73770000, 289654.00650000 5052987.73560000, 289653.16070000 5052987.02570000, 289652.01060000 5052986.05210000, 289651.16470000 5052985.32990000, 289650.62480000 5052984.86620000, 289649.75600000 5052984.11570000, 289649.34120000 5052983.75520000, 289647.83820000 5052982.43860000, 289647.01340000 5052981.70910000, 289646.18410000 5052980.97020000, 289645.36940000 5052980.23900000, 289645.36340000 5052980.23360000, 289644.53060000 5052979.48080000, 289643.68150000 5052978.70780000, 289642.89260000 5052977.98430000, 289642.88490000 5052977.97710000, 289642.05800000 5052977.21340000, 289641.24460000 5052976.45680000, 289640.43740000 5052975.70050000, 289639.62520000 5052974.93390000, 289639.62260000 5052974.93150000, 289638.81760000 5052974.16640000, 289637.72970000 5052973.12370000, 289636.93010000 5052972.35060000, 289635.95500000 5052971.40060000, 289635.52550000 5052970.97960000, 289635.52180000 5052970.97600000, 289634.71670000 5052970.18280000, 289634.71030000 5052970.17640000, 289634.14830000 5052969.61940000, 289633.47390000 5052968.94540000, 289609.83050000 5052940.91260000, 289592.16490000 5052919.85370000, 289575.78950000 5052898.18630000, 289554.12870000 5052869.93820000, 289553.68350000 5052869.28070000, 289546.99600000 5052859.78820000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 294245.08960000 5055117.34370000, 294255.55560000 5055130.34310000, 294278.98470000 5055159.44340000, 294300.81300000 5055186.55540000, 294313.49650000 5055202.30910000, 294332.78820000 5055226.27050000, 294336.77010000 5055231.21630000, 294342.08420000 5055237.24130000, 294354.63340000 5055251.46930000, 294380.37450000 5055280.65370000, 294388.87270000 5055290.28890000, 294394.68830000 5055296.88230000, 294397.80100000 5055300.41160000, 294400.37030000 5055303.32450000, 294407.10990000 5055310.96570000, 294419.87910000 5055325.44300000, 294423.94840000 5055330.05670000, 294428.46790000 5055335.18080000, 294434.70020000 5055342.24670000, 294441.99270000 5055350.51490000, 294450.64080000 5055360.31970000, 294512.02080000 5055429.91070000, 294529.32250000 5055449.52690000, 294546.65450000 5055469.17740000, 294577.06970000 5055503.66130000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 284809.12500000 5046772.78290000, 284783.73440000 5046805.36830000, 284768.41340000 5046825.08580000, 284750.48610000 5046848.13910000, 284739.64470000 5046862.12290000, 284724.60300000 5046881.42900000, 284708.40410000 5046902.24470000, 284699.60610000 5046913.84190000, 284678.07890000 5046941.19220000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 294604.03060000 5055534.22870000, 294623.81800000 5055556.66320000, 294625.35660000 5055558.40760000, 294673.30510000 5055612.77030000, 294693.10510000 5055635.21900000, 294746.22410000 5055695.44370000, 294746.58100000 5055695.84850000, 294747.95850000 5055697.41010000, 294752.93640000 5055703.05390000, 294757.78460000 5055708.55060000, 294759.14070000 5055710.08810000, 294762.42980000 5055713.36060000, 294777.04290000 5055727.90010000, 294785.10960000 5055735.92610000, 294785.87590000 5055736.68860000, 294795.12660000 5055745.89260000, 294795.11130000 5055745.88870000, 294804.90820000 5055755.62470000, 294942.95380000 5055892.97400000, 294946.83880000 5055896.83950000, 294960.20110000 5055910.13430000, 294965.46330000 5055915.36990000, 294970.33030000 5055920.21240000, 294975.59840000 5055925.45390000, 295008.99190000 5055958.67890000, 295013.69690000 5055963.36020000, 295097.36510000 5056046.60630000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 294577.06970000 5055503.66130000, 294604.03060000 5055534.22870000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 284644.99260000 5046939.99560000, 284651.84710000 5046931.65200000, 284661.19030000 5046920.46260000, 284668.98500000 5046910.39010000, 284687.27860000 5046886.47380000, 284698.49260000 5046872.25980000, 284717.29800000 5046847.87870000, 284749.23960000 5046806.82350000, 284787.85770000 5046756.82270000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 284787.85770000 5046756.82270000, 284808.45090000 5046730.26280000, 284831.49850000 5046700.59130000, 284848.93340000 5046678.01790000, 284864.59470000 5046657.88640000, 284884.04950000 5046632.72760000, 284900.05090000 5046611.98880000, 284917.33200000 5046589.69810000, 284935.46930000 5046566.39750000, 284952.64350000 5046544.15760000, 284975.27670000 5046515.10250000, 284986.88390000 5046500.33200000, 285000.33500000 5046482.77140000, 285026.31990000 5046449.08260000, 285052.29960000 5046415.65820000, 285067.77980000 5046395.58670000, 285073.41200000 5046388.03390000, 285079.57460000 5046379.88830000, 285083.34980000 5046374.71240000, 285087.17720000 5046369.04010000, 285093.43630000 5046359.22380000, 285096.85450000 5046353.90330000, 285099.00980000 5046350.88660000, 285101.53280000 5046347.48550000, 285107.09080000 5046339.94190000, 285112.29880000 5046332.75160000, 285116.99930000 5046326.55100000, 285125.14330000 5046315.03060000, 285127.58680000 5046311.90330000, 285144.39880000 5046289.78320000, 285152.50560000 5046279.66470000, 285161.68900000 5046267.56670000, 285168.41480000 5046258.45430000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 285058.80550000 5046450.39720000, 285046.81330000 5046466.13290000, 285032.16180000 5046485.03210000, 285020.99580000 5046499.55530000, 285016.23410000 5046505.69310000, 284999.03480000 5046528.02360000, 284972.12710000 5046562.94730000, 284956.25070000 5046583.32200000, 284937.91620000 5046606.89660000, 284914.84630000 5046636.42460000, 284898.69620000 5046657.25710000, 284891.16790000 5046666.94640000, 284874.34020000 5046688.59240000, 284850.46400000 5046719.42110000, 284834.58420000 5046739.96120000, 284822.83870000 5046754.83350000, 284809.12500000 5046772.78290000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 295323.25240000 5055779.73140000, 295332.45640000 5055787.51490000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 284067.48810000 5045547.93250000, 284079.53450000 5045552.98900000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 285212.71270000 5046243.98870000, 285189.41880000 5046229.66750000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 285630.53830000 5046527.29940000, 285623.96820000 5046522.15490000, 285620.71900000 5046520.41590000, 285613.41170000 5046516.64740000, 285604.51540000 5046510.63820000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 286625.37010000 5047299.49200000, 286620.46370000 5047296.21380000, 286602.01930000 5047282.47990000, 286479.00510000 5047188.53280000, 286432.59700000 5047152.93080000, 286419.07700000 5047142.99810000, 286415.33900000 5047140.47860000, 286410.53440000 5047137.83970000, 286405.27140000 5047135.47890000, 286401.15920000 5047133.28290000, 286396.14260000 5047129.94900000, 286337.84260000 5047088.12370000, 286227.67090000 5047006.31900000, 286196.92950000 5046983.34960000, 286164.97360000 5046955.45520000, 286123.72590000 5046923.48070000, 286099.73900000 5046907.04170000, 286076.85500000 5046887.79100000, 286045.02950000 5046862.13300000, 285970.92640000 5046803.12130000, 285935.23840000 5046774.08180000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 287041.74180000 5047617.04210000, 287019.48330000 5047599.76650000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 286912.51570000 5047518.73280000, 286826.65310000 5047453.93120000, 286760.47900000 5047403.90010000, 286669.89260000 5047334.19510000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 286687.11110000 5047305.92620000, 286708.76900000 5047322.47670000, 286780.73030000 5047377.78220000, 286844.99110000 5047426.60390000, 286917.21400000 5047481.77760000, 286932.13910000 5047493.15350000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 284249.69030000 5045633.05890000, 284248.00000000 5045632.30000000, 284233.30000000 5045626.00000000, 284216.00000000 5045618.90000000, 284198.80000000 5045611.70000000, 284189.00000000 5045607.60000000, 284179.30000000 5045603.50000000, 284175.70000000 5045601.90000000, 284172.00000000 5045600.40000000, 284170.50000000 5045599.80000000, 284169.00000000 5045599.20000000, 284151.80000000 5045592.10000000, 284134.60000000 5045585.10000000, 284112.50000000 5045575.90000000, 284090.30000000 5045566.80000000, 284086.70000000 5045565.30000000, 284075.96630000 5045560.84070000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 286642.50800000 5047275.41170000, 286664.78840000 5047291.55180000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 285604.51540000 5046510.63820000, 285604.50910000 5046510.63390000, 285570.74180000 5046485.05060000, 285539.06060000 5046461.97730000, 285521.77290000 5046449.77430000, 285489.08100000 5046427.56170000, 285464.44250000 5046411.18150000, 285438.32050000 5046394.09960000, 285354.79050000 5046339.89280000, 285309.66700000 5046310.87150000, 285280.18440000 5046291.60030000, 285241.20000000 5046266.20000000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 285622.85350000 5046484.52450000, 285629.16440000 5046490.20230000, 285633.96960000 5046494.79590000, 285637.26960000 5046497.87790000, 285639.14280000 5046500.25530000, 285641.36450000 5046502.99850000, 285644.97680000 5046506.12780000, 285646.26210000 5046507.15690000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 281393.09660000 5044459.97640000, 281408.06770000 5044441.94150000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 287603.91260000 5052290.21560000, 287582.43670000 5052282.11850000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 287061.77720000 5047592.84370000, 287138.67790000 5047652.99700000, 287233.78940000 5047727.44210000, 287309.53070000 5047786.92950000, 287393.80350000 5047852.90110000, 287422.23800000 5047875.38390000, 287488.35920000 5047927.19950000, 287518.44580000 5047951.01060000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 287540.77730000 5047971.63030000, 287561.91790000 5047985.14130000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 287902.30460000 5052475.55680000, 287909.45590000 5052484.77170000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 275085.15740000 5046392.46080000, 275065.71900000 5046401.74870000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 275085.15740000 5046392.46080000, 275077.17730000 5046372.25620000, 275077.30770000 5046371.01500000, 275078.09940000 5046369.78680000, 275084.58940000 5046367.32100000, 275088.13420000 5046365.93570000, 275092.70520000 5046364.25770000, 275100.10850000 5046361.73850000, 275112.04740000 5046358.47030000, 275113.05110000 5046358.59160000, 275114.00000000 5046358.80000000, 275114.90000000 5046359.20000000, 275116.30000000 5046359.50000000, 275117.20000000 5046359.50000000, 275135.20000000 5046354.60000000, 275149.50000000 5046350.70000000, 275150.90000000 5046350.40000000, 275155.90000000 5046349.00000000, 275186.60000000 5046340.70000000, 275188.60000000 5046340.30000000, 275240.50000000 5046325.90000000, 275250.84840000 5046323.31290000, 275252.20000000 5046322.50000000, 275254.56540000 5046320.32840000, 275256.37210000 5046319.02220000, 275261.90800000 5046317.24270000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 288360.64450000 5048728.06260000, 288334.16360000 5048694.02910000, 288311.63180000 5048667.10790000, 288282.27330000 5048634.09770000, 288247.68120000 5048598.76130000, 288217.72650000 5048567.80350000, 288163.81290000 5048517.87500000, 288135.11880000 5048491.42770000, 288119.18850000 5048477.97430000, 288071.05080000 5048437.09120000, 288051.20000000 5048423.80000000, 288045.38130000 5048419.44540000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 284079.53450000 5045552.98900000, 284090.61530000 5045557.64020000, 284118.16000000 5045569.01140000, 284157.51120000 5045584.02070000, 284176.38420000 5045590.85430000, 284186.02480000 5045594.33030000, 284202.62930000 5045600.33460000, 284215.56090000 5045605.31670000, 284229.52660000 5045611.04520000, 284243.91720000 5045617.29610000, 284255.55830000 5045622.36970000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 285228.73340000 5046223.71690000, 285232.58590000 5046226.23860000, 285240.38990000 5046231.07660000, 285244.24600000 5046232.35530000, 285248.79060000 5046234.05920000, 285252.75250000 5046236.02570000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 285650.73070000 5046543.10620000, 285630.53830000 5046527.29940000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 284255.55830000 5045622.36970000, 284260.55360000 5045624.73370000, 284263.87960000 5045626.65560000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 286932.13910000 5047493.15350000, 286953.11760000 5047509.14310000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 284064.07900000 5045555.90200000, 284038.55140000 5045545.29650000, 284034.90000000 5045543.80000000, 284025.30000000 5045539.80000000, 284015.60000000 5045535.80000000, 284009.20000000 5045533.20000000, 284003.80000000 5045531.00000000, 283988.20000000 5045524.50000000, 283961.70000000 5045513.70000000, 283945.30000000 5045506.90000000, 283930.40000000 5045500.70000000, 283928.80000000 5045500.00000000, 283898.90000000 5045487.60000000, 283874.10000000 5045477.10000000, 283854.70000000 5045468.80000000, 283770.60000000 5045432.30000000, 283731.50000000 5045416.20000000, 283711.20000000 5045407.70000000, 283706.40000000 5045405.70000000, 283705.60000000 5045405.40000000, 283670.00000000 5045389.80000000, 283638.80000000 5045376.60000000, 283610.20000000 5045365.00000000, 283585.70000000 5045355.40000000, 283574.50000000 5045351.30000000, 283564.60000000 5045348.20000000, 283554.60000000 5045345.30000000, 283547.90000000 5045343.60000000, 283543.40000000 5045342.60000000, 283538.80000000 5045341.60000000, 283535.00000000 5045340.80000000, 283531.20000000 5045340.00000000, 283525.30000000 5045339.00000000, 283484.14730000 5045331.80650000, 283436.17660000 5045323.37100000, 283384.99360000 5045314.10470000, 283348.11240000 5045306.94660000, 283302.76750000 5045296.86920000, 283269.24170000 5045288.63930000, 283235.71600000 5045280.40940000, 283217.15000000 5045275.80900000, 283206.09960000 5045272.54770000, 283196.70740000 5045269.74250000, 283184.90460000 5045265.72540000, 283165.10390000 5045257.97800000, 283120.98670000 5045241.18430000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 287909.45590000 5052484.77170000, 287914.60000000 5052491.40000000, 287921.20000000 5052500.00000000, 287927.20000000 5052507.70000000, 287928.30000000 5052509.10000000, 287932.20000000 5052514.20000000, 287955.70000000 5052544.50000000, 287960.10000000 5052550.20000000, 287965.20000000 5052556.70000000, 287977.60000000 5052572.80000000, 287982.00000000 5052578.40000000, 287998.20000000 5052599.30000000, 288000.00000000 5052601.70000000, 288002.40000000 5052604.80000000, 288039.70000000 5052653.30000000, 288044.20000000 5052659.20000000, 288058.90000000 5052678.20000000, 288070.60000000 5052693.20000000, 288081.40000000 5052707.30000000, 288085.90000000 5052713.20000000, 288096.30000000 5052726.90000000, 288121.90000000 5052759.90000000, 288122.20000000 5052760.30000000, 288129.00000000 5052769.20000000, 288139.10000000 5052782.20000000, 288140.60000000 5052784.10000000, 288140.70000000 5052784.30000000, 288144.30000000 5052789.60000000, 288147.90000000 5052794.90000000, 288150.80000000 5052799.20000000, 288160.30000000 5052814.50000000, 288165.20000000 5052822.00000000, 288167.80000000 5052825.70000000, 288170.50000000 5052829.30000000, 288174.00000000 5052833.60000000, 288179.70000000 5052839.80000000, 288185.50000000 5052845.80000000, 288193.20000000 5052853.80000000, 288200.80000000 5052861.80000000, 288213.10000000 5052874.20000000, 288225.50000000 5052886.50000000, 288236.40000000 5052897.00000000, 288240.90000000 5052901.20000000, 288247.50000000 5052907.30000000, 288257.60000000 5052916.20000000, 288260.50000000 5052918.70000000, 288273.60000000 5052929.90000000, 288287.10000000 5052941.40000000, 288294.00000000 5052947.10000000, 288300.90000000 5052952.70000000, 288312.90000000 5052962.10000000, 288324.80000000 5052971.50000000, 288335.80000000 5052980.10000000, 288346.70000000 5052988.70000000, 288353.40000000 5052993.90000000, 288361.20000000 5053000.00000000, 288378.10000000 5053013.00000000, 288426.90000000 5053049.60000000, 288442.90000000 5053062.40000000, 288445.14150000 5053064.22840000)"
