id_station,timestamp_local,compte_dir_nord,compte_dir_sud,compte_dir_est,compte_dir_ouest,compte_total
V01,2020-06-18T19:45:00-04,,,18,5,23
V01,2020-06-18T20:00:00-04,,,3,1,4
V01,2020-06-18T20:15:00-04,,,4,2,6
V01,2020-06-18T20:30:00-04,,,0,6,6
V01,2020-06-18T20:45:00-04,,,0,1,1
V01,2020-06-18T21:00:00-04,,,5,0,5
V01,2020-06-18T21:15:00-04,,,1,1,2
V01,2020-06-18T21:30:00-04,,,3,1,4
V01,2020-06-18T21:45:00-04,,,0,1,1
V01,2020-06-18T22:00:00-04,,,0,1,1
V01,2020-06-18T22:15:00-04,,,0,1,1
V01,2020-06-18T22:30:00-04,,,1,0,1
V01,2020-06-18T22:45:00-04,,,1,0,1
V01,2020-06-18T23:00:00-04,,,0,0,0
V01,2020-06-18T23:15:00-04,,,1,0,1
V01,2020-06-18T23:30:00-04,,,1,3,4
V01,2020-06-18T23:45:00-04,,,1,0,1
V01,2020-06-19T00:00:00-04,,,1,0,1
V01,2020-06-19T00:15:00-04,,,0,1,1
V01,2020-06-19T00:30:00-04,,,0,1,1
V01,2020-06-19T00:45:00-04,,,0,0,0
V01,2020-06-19T01:00:00-04,,,0,1,1
V01,2020-06-19T01:15:00-04,,,0,0,0
V01,2020-06-19T01:30:00-04,,,0,0,0
V01,2020-06-19T01:45:00-04,,,1,0,1
V01,2020-06-19T02:00:00-04,,,0,0,0
V01,2020-06-19T02:15:00-04,,,0,0,0
V01,2020-06-19T02:30:00-04,,,0,0,0
V01,2020-06-19T02:45:00-04,,,0,0,0
V01,2020-06-19T03:00:00-04,,,0,0,0
V01,2020-06-19T03:15:00-04,,,0,0,0
V01,2020-06-19T03:30:00-04,,,0,0,0
V01,2020-06-19T03:45:00-04,,,0,0,0
V01,2020-06-19T04:00:00-04,,,0,0,0
V01,2020-06-19T04:15:00-04,,,0,0,0
V01,2020-06-19T04:30:00-04,,,0,0,0
V01,2020-06-19T04:45:00-04,,,0,0,0
V01,2020-06-19T05:00:00-04,,,1,0,1
V01,2020-06-19T05:15:00-04,,,0,1,1
V01,2020-06-19T05:30:00-04,,,0,0,0
V01,2020-06-19T05:45:00-04,,,0,2,2
V01,2020-06-19T06:00:00-04,,,0,1,1
V01,2020-06-19T06:15:00-04,,,1,1,2
V01,2020-06-19T06:30:00-04,,,3,0,3
V01,2020-06-19T06:45:00-04,,,1,1,2
V01,2020-06-19T07:00:00-04,,,3,0,3
V01,2020-06-19T07:15:00-04,,,1,2,3
V01,2020-06-19T07:30:00-04,,,2,0,2
V01,2020-06-19T07:45:00-04,,,5,2,7
V01,2020-06-19T08:00:00-04,,,0,1,1
V01,2020-06-19T08:15:00-04,,,1,1,2
V01,2020-06-19T08:30:00-04,,,2,0,2
V01,2020-06-19T08:45:00-04,,,3,1,4
V01,2020-06-19T09:00:00-04,,,1,1,2
V01,2020-06-19T09:15:00-04,,,6,3,9
V01,2020-06-19T09:30:00-04,,,3,5,8
V01,2020-06-19T09:45:00-04,,,4,1,5
V01,2020-06-19T10:00:00-04,,,0,2,2
V01,2020-06-19T10:15:00-04,,,4,4,8
V01,2020-06-19T10:30:00-04,,,4,3,7
V01,2020-06-19T10:45:00-04,,,6,2,8
V01,2020-06-19T11:00:00-04,,,1,2,3
V01,2020-06-19T11:15:00-04,,,3,0,3
V01,2020-06-19T11:30:00-04,,,3,2,5
V01,2020-06-19T11:45:00-04,,,4,2,6
V01,2020-06-19T12:00:00-04,,,3,1,4
V01,2020-06-19T12:15:00-04,,,1,0,1
V01,2020-06-19T12:30:00-04,,,4,1,5
V01,2020-06-19T12:45:00-04,,,3,4,7
V01,2020-06-19T13:00:00-04,,,5,5,10
V01,2020-06-19T13:15:00-04,,,2,1,3
V01,2020-06-19T13:30:00-04,,,2,1,3
V01,2020-06-19T13:45:00-04,,,5,1,6
V01,2020-06-19T14:00:00-04,,,1,1,2
V01,2020-06-19T14:15:00-04,,,3,1,4
V01,2020-06-19T14:30:00-04,,,4,1,5
V01,2020-06-19T14:45:00-04,,,4,1,5
V01,2020-06-19T15:00:00-04,,,1,3,4
V01,2020-06-19T15:15:00-04,,,2,1,3
V01,2020-06-19T15:30:00-04,,,1,0,1
V01,2020-06-19T15:45:00-04,,,5,0,5
V01,2020-06-19T16:00:00-04,,,3,4,7
V01,2020-06-19T16:15:00-04,,,2,1,3
V01,2020-06-19T16:30:00-04,,,5,2,7
V01,2020-06-19T16:45:00-04,,,3,6,9
V01,2020-06-19T17:00:00-04,,,6,3,9
V01,2020-06-19T17:15:00-04,,,3,2,5
V01,2020-06-19T17:30:00-04,,,8,2,10
V01,2020-06-19T17:45:00-04,,,10,2,12
V01,2020-06-19T18:00:00-04,,,6,3,9
V01,2020-06-19T18:15:00-04,,,8,5,13
V01,2020-06-19T18:30:00-04,,,4,4,8
V01,2020-06-19T18:45:00-04,,,3,3,6
V01,2020-06-19T19:00:00-04,,,4,0,4
V01,2020-06-19T19:15:00-04,,,5,4,9
V01,2020-06-19T19:30:00-04,,,5,5,10
V01,2020-06-19T19:45:00-04,,,4,3,7
V01,2020-06-19T20:00:00-04,,,4,2,6
V01,2020-06-19T20:15:00-04,,,1,3,4
V01,2020-06-19T20:30:00-04,,,5,0,5
V01,2020-06-19T20:45:00-04,,,6,5,11
V01,2020-06-19T21:00:00-04,,,4,3,7
V01,2020-06-19T21:15:00-04,,,2,3,5
V01,2020-06-19T21:30:00-04,,,0,1,1
V01,2020-06-19T21:45:00-04,,,3,0,3
V01,2020-06-19T22:00:00-04,,,1,0,1
V01,2020-06-19T22:15:00-04,,,3,0,3
V01,2020-06-19T22:30:00-04,,,0,2,2
V01,2020-06-19T22:45:00-04,,,1,0,1
V01,2020-06-19T23:00:00-04,,,3,0,3
V01,2020-06-19T23:15:00-04,,,0,0,0
V01,2020-06-19T23:30:00-04,,,2,0,2
V01,2020-06-19T23:45:00-04,,,0,0,0
V01,2020-06-20T00:00:00-04,,,2,0,2
V01,2020-06-20T00:15:00-04,,,2,0,2
V01,2020-06-20T00:30:00-04,,,0,0,0
V01,2020-06-20T00:45:00-04,,,0,0,0
V01,2020-06-20T01:00:00-04,,,2,0,2
V01,2020-06-20T01:15:00-04,,,0,0,0
V01,2020-06-20T01:30:00-04,,,2,0,2
V01,2020-06-20T01:45:00-04,,,0,0,0
V01,2020-06-20T02:00:00-04,,,0,0,0
V01,2020-06-20T02:15:00-04,,,0,0,0
V01,2020-06-20T02:30:00-04,,,0,0,0
V01,2020-06-20T02:45:00-04,,,0,0,0
V01,2020-06-20T03:00:00-04,,,0,0,0
V01,2020-06-20T03:15:00-04,,,0,0,0
V01,2020-06-20T03:30:00-04,,,0,0,0
V01,2020-06-20T03:45:00-04,,,0,0,0
V01,2020-06-20T04:00:00-04,,,0,0,0
