ï»¿id,nom_batiment,municipalite,usage,adresse,superficie
,Poste de pompage # 10 Parc industriel,94068,"Transports, communications et services publics",1668 Boulevard Saint-Paul,19.97
,Remise 1 des Battures,94068,"Transports, communications et services publics",2706 Chemin de la Batture-Saint-Paul,24.78
,Poste de surpression Mathias,94068,"Transports, communications et services publics",4050 Route Coulombe,14.29
,Poste de surpression RÃ©servoir de l'Est,94068,"Transports, communications et services publics",2411 Rue des Roitelets,25.84
,Pavillon de service soccer John-Kane,94068,"Transports, communications et services publics",2060 Avenue John-Kane,45.94
,Poste de contrÃ´le DÃ©pÃ´t neige usÃ©es Arvida,94068,"Transports, communications et services publics",2690 Boulevard du Saguenay,16.58
,Poste Jean-DechÃªne,94068,"Transports, communications et services publics",1977 Rue Dubuisson,36.11
,Poste de pompage # 21 HÃ©bert,94068,"Transports, communications et services publics",2342 Rue HÃ©bert,46.08
,Poste de surpression S-82,94068,"Transports, communications et services publics",581 Rue des Ãrables,4
,Poste de surpression S-87,94068,"Transports, communications et services publics",599 Chemin FrÃ©millon,4
,Chambre de vanne St-Paul,94068,"Transports, communications et services publics",1787 Rue de la Manic,27.53
,Puits Lac KÃ©nogami,94068,"Transports, communications et services publics",8980 Route de KÃ©nogami,50.2
,RÃ©servoir Nil-Jean,94068,"Transports, communications et services publics",180 Chemin Nil-Jean,4
,Poste de surpression Coulombe,94068,"Transports, communications et services publics",1861 Route Coulombe,18.45
,Poste de pompage # S-3 Grande-Baie Sud,94068,"Transports, communications et services publics",1970 Boulevard de la Grande-Baie Sud,4
,Poste de pompage # S-4 Mgr Dufour,94068,"Transports, communications et services publics",3120 Rue Monseigneur-Dufour,45.6
,Poste de pompage # S-7 Mont-BÃ©lu,94068,"Transports, communications et services publics",4991 Boulevard de la Grande-Baie Sud,19.01
,Poste de pompage # S-8 Jardin de mon pÃ¨re,94068,"Transports, communications et services publics",3588 Chemin Saint-Louis,4
,Poste de pompage # S-9 Chemin des Chutes,94068,"Transports, communications et services publics",3292 Chemin des Chutes,4
,Poste de pompage # S-10 Des GenÃ©vriers,94068,"Transports, communications et services publics",608 Rue des GenÃ©vriers,4
,Poste de pompage # 9 Usine de filtration,94068,"Transports, communications et services publics",1783 Rue de la Manic,29.22
,Poste de pompage # 6 Pierre-Laure,94068,"Transports, communications et services publics",833 Rue des Augustines,19.76
,Poste de pompage # 22 Petit Price,94068,"Transports, communications et services publics",287 Rue Price Ouest,4
,Poste de pompage # 24 Du Cap,94068,"Transports, communications et services publics",2 Rue du Cap,1.99
,Garage municipal Chicoutimi,94068,"Transports, communications et services publics",504 Boulevard du Saguenay Ouest,3809.32
,EntrepÃ´t vÃ©hiculaire STS,94068,"Transports, communications et services publics",1733 Boulevard Saint-Paul,1491.83
,Poste de pompage # 31 Caribou,94068,"Transports, communications et services publics",444 Route de Tadoussac,12.98
,Poste de pompage # 2S St-LÃ©onard,94068,"Transports, communications et services publics",3830 Route Saint-LÃ©onard,31.07
,Poste de pompage # 3S Mathias,94068,"Transports, communications et services publics",4421 Route Mathias,18.47
,Poste de pompage # 4S Mathias,94068,"Transports, communications et services publics",3801 Route Mathias,13.65
,Maison pour tous,94068,"Transports, communications et services publics",2182 Rue Bonneau,1016.02
,Poste de pompage # 19 Turbide,94068,"Transports, communications et services publics",1631 Rue Turbide,4
,Poste de pompage # 23 Mercier,94068,"Transports, communications et services publics",2505 Rue Mercier,44.56
,Remise Jardin DrÃ©an,94068,"Transports, communications et services publics",425 Rue DrÃ©an,14.63
,Pavillon d'accueil Parc Price,94068,"Transports, communications et services publics",1840 Rue Price,103.67
,Office du tourisme JonquiÃ¨re,94068,"Transports, communications et services publics",3919 Boulevard Harvey,238.3
,Poste de pompage # 2L Parc Nazaire-Girard,94068,"Transports, communications et services publics",6203 Rue Notre-Dame,15.9
,Poste de pompage # 3L Talbot,94068,"Transports, communications et services publics",5783 Boulevard Talbot,6
,Poste de pompage # 4L Maisons mobiles,94068,"Transports, communications et services publics",127 Rue Saint-Gelais,4
,Poste de pompage # 2 St-Dominique,94068,"Transports, communications et services publics",3037 Rue Saint-Dominique,4
,Poste de pompage # 3 St-Dominique,94068,"Transports, communications et services publics",3190 Rue Saint-Dominique,48.56
,Poste de pompage # 5 Ste-Ãmilie,94068,"Transports, communications et services publics",2191 Rue des Coudriers,4
,Poste de pompage # 6 Soucy,94068,"Transports, communications et services publics",3940 Rue Soucy,4
,Poste de pompage # 11 St-Maurice,94068,"Transports, communications et services publics",2181 Rue Saint-Maurice,4
,Poste de pompage # 12 Legendre,94068,"Transports, communications et services publics",3604 Rue Legendre,45.38
,Poste de pompage # 14 Radin,94068,"Transports, communications et services publics",3490 Rue Radin,34.93
,RÃ©servoir d'eau Shipshaw Nord,94068,"Transports, communications et services publics",3090 Route Mathias,125.72
,Pyramide des Ha! Ha!,94068,"Transports, communications et services publics",3000 Rue Monseigneur-Dufour,269.1
,BÃ¢timent de service Pont Arnaud,94068,"Transports, communications et services publics",1888 Rue de la Manic,145.66
