nom_evenement,date,elu_representant
Événement anniversaire du Conseil du patrimoine de Montréal et du Comité Jacques-Viger,2022-11-14,"Ericka Alneus, Robert Beaudry"
Événement pour souligner les lauréates 4e édition 2022 - Femme mérite Mwali,2022-11-15,"Valérie Plante, Dominique Ollivier"
Accueil de la délégation de la République démocratique du Congo,2022-11-15,Dominique Ollivier
Accueil du Baron Duncan de Springbank,2022-11-16,"Sterling Downey, Craig Sauvé"
"Accueil de M. Guillaume Dupeux, gagnant d'un lot d'Encan Soleil",2022-11-16,Valérie Plante
Soirée à l'hôtel de ville - Arrondissement CDN-NDG,2022-11-21,Martine Musau Muele
"Accueil de M. Philippe Geluck, dessinateur et sculpteur belge, et de la délégation de Wallonie-Bruxelles",2022-11-25,Ericka Alneus
Accueil de Mme France-Élaine Duranceau ministre de l'Habitation du Gouvernement du Québec,2022-11-25,Valérie Plante
Accueil de la délégation de Lyon,2022-11-28,"Alia Hassan-Cournol, Daphney Colin"
Réception en l'honneur des relations Montréal-Lyon,2022-11-29,Valérie Plante
"Accueil de M. Jean-Ernest Pierre, directeur de la Radio CPAM",2022-12-02,"Dominique Ollivier, Josué Corvil"
"Accueil de Mme Émeline Michel, chanteuse",2022-12-02,"Ericka Alneus, Josué Corvil"
Accueil d'artistes marocains dans le cadre de la 3e édition du Festival du Cinéma Marocain au Canada,2022-12-02,"Abdelhaq Sari, Younes Boukala"
Commémoration de la tragédie du 6 décembre 1989,2022-12-06,Valérie Plante
Accueil de Madame Catarina Marques de Almeida Vaz Pinto,2022-12-06,Ericka Alneus
Accueil des dirigeants des Hôpitaux Shriners pour enfants,2022-12-08,Despina Sourias
COP15-Journée Montréal Pavillon gouvernements infranationaux et villes ICLEI,2022-12-08,Valérie Plante
COP15-Sommet gouvernements infranationaux et villes ICLEI-Session de travail,2022-12-10,Valérie Plante
COP15-Sommet gouvernements infranationaux et villes ICLEI-Jour 1 et 2,2022-12-11,Valérie Plante
COP15-Cocktail réseautage Sommet gouvernements infranationaux et villes ICLEI,2022-12-11,Valérie Plante
COP15-Cocktail clôture Sommet gouvernements infranationaux et villes ICLEI,2022-12-12,Valérie Plante
Accueil ministre Qc Services sociaux Dr Lionel Carmant,2022-12-13,"Dominique Ollivier, Josefina Blanco"
Réception à l’occasion de la 15e Conférence des Parties (COP15) de la Convention sur la diversité biologique,2022-12-13,Valérie Plante
"Accueil de la première adjointe au maire de Marseille, Docteure Michèle Rubirola",2022-12-14,Dominique Ollivier
"Accueil de l'ambassadeur des États-Unis au Canada, Son Excellence David L. Cohen",2022-12-15,Valérie Plante
"Accueil de Robert, le plus jeune participant de la COP15",2022-12-19,Valérie Plante
"Accueil du maire de Nice, Monsieur Christian Estrosi",2022-12-22,Alia Hassan-Cournol
