"Station","Date","%OD","O2 (mg/L)","COND.","pH","TEMP  (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn (µg/L)","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-26P",21/06/2017 13:49,"100,7","9,34",254,,"18,93","=",28000,-1,"0,1",229,"0,7",22,"0,1",27600,"0,1","0,2","3,6","0,7","1,5",291,1380,6850,"12,9",1,12000,50,1,17,"0,3","6,1","0,5","0,5","1,0","0,3","0,9","7,0"
"EMIS-26P",14/08/2017 12:50,"96,8","8,34",299,"8,18","22,74","=",45000,-1,"0,1",107,"0,9",23,"0,1",32500,"0,1","0,1",3,"0,4","1,2",117,1700,8520,"5,8","1,2",14100,90,"0,7",14,"0,2","2,6","0,5","0,5","1,0","0,3","0,9","7,0"
"EMIS-26P",30/08/2017 13:44,"98,7","8,62",293,"8,25","22,06","=",28000,1,"0,1",117,"0,8",25,"0,1",31700,"0,1","0,1","3,3","0,5","1,2",125,1670,8580,"6,6","1,1",14300,100,"0,9",15,"0,2","4,2","0,5","0,5","1,0","0,3","1,0","7,0"
"EMIS-26P",06/09/2017 13:50,"92,8","8,47",295,"8,12","19,74","=",56000,-1,"0,1",98,"0,8",23,"0,1",32200,"0,1","0,1","2,8","0,6","1,2",104,1700,8560,"6,4","1,1",13400,100,"0,7",15,"0,2",6,"0,5","0,5","1,0","0,4","0,6","7,0"
"EMIS-26P",13/09/2017 13:34,"96,6","8,85",286,"8,18","19,59","=",36000,1,"0,1",93,"0,8",23,"0,1",31600,"0,1","0,1","3,2","0,4","1,2",119,1690,8270,"6,3",1,12800,110,"0,7",13,"0,2","2,8","0,5","0,5","1,0","0,3","0,5","7,0"
"EMIS-26P",25/09/2017 12:40,"97,4","8,5",292,"8,22","22,05","=",54000,1,"0,1",75,"0,8",23,"0,1",33900,"0,1","0,1",3,"0,7","1,2",108,1880,8970,"6,5","1,1",13700,120,"0,7",15,"0,2","3,8","0,5","0,8","1,0","0,4","0,4","7,0"
"EMIS-26P",02/10/2017 14:03,"94,3","8,8",296,"8,09","18,71","=",30000,1,"0,1",61,"0,8",23,"0,1",33700,"0,1","0,1","2,9","0,5",1,91,1860,8970,6,1,13500,110,"0,6",13,"0,2","2,4","0,5","0,5","1,0","0,4","0,4","7,0"
"EMIS-26RS",21/06/2017 13:39,"103,7","9,7",297,,"18,59","<",100,-1,"0,1",193,"0,7",23,"0,1",32000,"0,1","0,1",3,"0,6","1,3",245,1490,8000,"10,3",1,13400,20,"0,8",15,"0,3",7,"0,5","0,5","1,0","0,3","1,2","7,0"
"EMIS-26RS",14/08/2017 12:42,"101,7","8,78",298,"8,34","22,63","=",63,-1,"0,1",185,"0,8",23,"0,1",32500,"0,1","0,1","2,6","0,5","1,2",201,1570,8600,"7,8",1,13600,20,"0,8",15,"2,2","5,8","0,5","0,5","1,0","0,3","1,0","7,0"
"EMIS-26RS",30/08/2017 13:36,"107,3","9,39",298,"8,42","21,92","=",42,1,"0,1",136,"0,9",25,"0,1",34600,"0,1","0,1","2,5","0,5","1,2",163,1680,9060,"7,6","1,1",13400,20,"0,8",16,"0,2",5,"0,5","0,5","1,0","0,4","1,2","7,0"
"EMIS-26RS",06/09/2017 13:40,"97,6","8,92",301,"8,31","19,7","=",250,-1,"0,1",114,"0,9",24,"0,1",34900,"0,1","0,1","2,3","0,6",1,146,1650,9310,"6,7","1,1",13700,20,"0,7",12,"0,2","5,3","0,5","0,5","1,0","0,4","1,1","7,0"
"EMIS-26RS",13/09/2017 13:25,"104,7","9,6",297,"8,47","19,55","=",60,1,"0,1",89,"0,8",25,"0,1",33800,"0,1","0,1","2,5","0,9",1,118,1630,8960,"5,6",1,13100,20,"0,7",10,"0,2",3,"0,5","0,5","1,0","0,4","1,0","7,0"
"EMIS-26RS",25/09/2017 12:33,"104,5","9,13",299,"8,41",22,"=",33,1,"0,1",61,"0,9",24,"0,1",35700,"0,1","0,1","2,3","0,7","0,9",82,1750,9480,5,"1,1",13900,20,"0,7",8,"0,2",2,"0,5","0,5","1,0","0,4","0,9","7,0"
"EMIS-26RS",02/10/2017 13:55,"102,1","9,54",302,"8,3","18,61","=",20,1,"0,1",86,"0,9",24,"0,1",35500,"0,1","0,1","2,3","0,7","0,9",112,1760,9510,"6,7","1,1",13600,20,"0,7",9,"0,2",3,"0,5","0,5","1,0","0,4","1,0","7,0"
"EMIS-30RN",21/06/2017 13:58,"100,3","9,1",146,,"20,09","=",2700,-1,"0,1",446,"0,5",21,"0,1",15600,"0,1","0,3","5,4","1,2","1,8",558,1020,3940,"25,6",1,7040,60,"1,2",29,"0,5",11,"0,5","0,5","1,0","0,2","0,5","7,0"
"EMIS-30RN",14/08/2017 12:59,101,"8,61",191,"8,09","23,3","=",1400,-1,"0,1",216,"0,6",21,"0,1",20200,"0,1","0,1","5,2","0,7","1,4",276,1180,5350,"12,6",1,8840,40,"0,8",20,"0,2",4,"0,5","0,5","1,0","0,2","0,5","7,0"
"EMIS-30RN",30/08/2017 13:53,"101,7","8,91",142,"7,87","21,91","<",100,1,"0,1",257,"0,5",20,"0,1",16300,"0,1","0,2",6,1,"1,6",342,1050,4180,"14,7",1,6630,50,"0,9",23,"0,3","4,7","0,5","0,5","1,0","0,2","0,4","7,0"
