"NumÃ©ro
d'homologation du produit","
Nom commercial du produit","Nom de l'ingrÃ©dient actif","Concentration de l'ingrÃ©dient actif","QuantitÃ© de 
produits vendus
(kg)","QuantitÃ© d'ingrÃ©dients actifs contenus dans le produit vendu
(kg)","RÃ©gion administrative 
du domicile du client ","","","",""
"24094","Admire 240 Insecticide systÃ©mique en suspension aqueuse","Imidaclopride","0.24","3.78","0.91","MontÃ©rÃ©gie","","","",""
"24094","Admire 240 Insecticide systÃ©mique en suspension aqueuse","Imidaclopride","0.24","2.00","0.48","ChaudiÃ¨re-Appalaches","","","",""
"24094","Admire 240 Insecticide systÃ©mique en suspension aqueuse","Imidaclopride","0.24","7.57","1.82","ChaudiÃ¨re-Appalaches","","","",""
"24648","Pyrifos 15G","Chlorpyrifos","0.50","22.70","11.35","LanaudiÃ¨re","","","",""
"24648","Pyrifos 15G","Chlorpyrifos","0.50","45.40","22.70","LanaudiÃ¨re","","","",""
"24648","Pyrifos 15G","Chlorpyrifos","0.50","181.60","90.80","LanaudiÃ¨re","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","180.00","57.60","Estrie ","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","30.00","9.60","Saguenay--Lac-Saint-Jean","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","90.00","28.80","Saguenay--Lac-Saint-Jean","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","100.00","32.00","Saguenay--Lac-Saint-Jean","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","60.00","19.20","Saguenay--Lac-Saint-Jean","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","10.00","3.20","Centre-du-QuÃ©bec","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","20.00","6.40","Laurentides","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","20.00","6.40","Mauricie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","70.00","22.40","Estrie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","100.00","32.00","MontÃ©rÃ©gie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","60.00","19.20","Outaouais","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","30.00","9.60","MontÃ©rÃ©gie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","35.20","11.26","Inconnu","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","130.00","41.60","Inconnu","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","20.00","6.40","Outaouais","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","70.00","22.40","LanaudiÃ¨re","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","30.00","9.60","LanaudiÃ¨re","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","50.00","16.00","LanaudiÃ¨re","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","60.00","19.20","Laval","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","80.00","25.60","Laval","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","10.00","3.20","Laval","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","30.00","9.60","Laval","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","360.00","115.20","Saguenay--Lac-Saint-Jean","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","50.00","16.00","Laurentides","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","20.00","6.40","Laurentides","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","20.00","6.40","Laurentides","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","30.00","9.60","MontÃ©rÃ©gie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","30.00","9.60","MontÃ©rÃ©gie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","10.00","3.20","Centre-du-QuÃ©bec","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","30.00","9.60","MontÃ©rÃ©gie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","20.00","6.40","Saguenay--Lac-Saint-Jean","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","70.00","22.40","Saguenay--Lac-Saint-Jean","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","80.00","25.60","Saguenay--Lac-Saint-Jean","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","10.00","3.20","ChaudiÃ¨re-Appalaches","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","100.00","32.00","Saguenay--Lac-Saint-Jean","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","120.00","38.40","Saguenay--Lac-Saint-Jean","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","21.00","6.72","Centre-du-QuÃ©bec","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","60.00","19.20","MontÃ©rÃ©gie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","50.00","16.00","MontÃ©rÃ©gie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","140.00","44.80","MontÃ©rÃ©gie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","10.00","3.20","Mauricie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","120.00","38.40","Mauricie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","10.00","3.20","Laurentides","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","20.00","6.40","Laurentides","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","30.00","9.60","Bas-Saint-Laurent","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","120.00","38.40","Saguenay--Lac-Saint-Jean","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","140.00","44.80","Saguenay--Lac-Saint-Jean","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","81.30","26.02","ChaudiÃ¨re-Appalaches ","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","10.00","3.20","ChaudiÃ¨re-Appalaches","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","30.00","9.60","ChaudiÃ¨re-Appalaches","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","10.00","3.20","MontÃ©rÃ©gie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","10.00","3.20","ChaudiÃ¨re-Appalaches","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","220.00","70.40","Estrie ","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","40.00","12.80","Mauricie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","30.00","9.60","MontÃ©rÃ©gie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","60.00","19.20","LanaudiÃ¨re","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","20.00","6.40","Bas-Saint-Laurent","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","150.00","48.00","LanaudiÃ¨re","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","20.00","6.40","MontÃ©rÃ©gie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","40.00","12.80","Estrie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","10.00","3.20","Mauricie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","20.00","6.40","Mauricie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","60.00","19.20","Mauricie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","20.00","6.40","Centre-du-QuÃ©bec","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","40.00","12.80","Centre-du-QuÃ©bec","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","30.00","9.60","Mauricie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","40.00","12.80","Mauricie","","","",""
"25730","Primextra II Magnum","Atrazine","0.32","180.00","57.60","Mauricie","","","",""
"25831","Nufos 4E Insecticide - Agricole","Chlorpyrifos","0.48","150.00","72.00","Inconnu","","","",""
"25831","Nufos 4E Insecticide - Agricole","Chlorpyrifos","0.48","60.00","28.80","LanaudiÃ¨re","","","",""
"25831","Nufos 4E Insecticide - Agricole","Chlorpyrifos","0.48","50.00","24.00","Laval","","","",""
"25831","Nufos 4E Insecticide - Agricole","Chlorpyrifos","0.48","110.00","52.80","LanaudiÃ¨re","","","",""
"25831","Nufos 4E Insecticide - Agricole","Chlorpyrifos","0.48","40.00","19.20","Laurentides","","","",""
"25831","Nufos 4E Insecticide - Agricole","Chlorpyrifos","0.48","10.00","4.80","Laurentides","","","",""
"25831","Nufos 4E Insecticide - Agricole","Chlorpyrifos","0.48","10.00","4.80","Laurentides","","","",""
"25831","Nufos 4E Insecticide - Agricole","Chlorpyrifos","0.48","250.00","120.00","LanaudiÃ¨re","","","",""
"25831","Nufos 4E Insecticide - Agricole","Chlorpyrifos","0.48","250.00","120.00","LanaudiÃ¨re","","","",""
"25831","Nufos 4E Insecticide - Agricole","Chlorpyrifos","0.48","70.00","33.60","LanaudiÃ¨re","","","",""
"25831","Nufos 4E Insecticide - Agricole","Chlorpyrifos","0.48","50.00","24.00","LanaudiÃ¨re","","","",""
"25831","Nufos 4E Insecticide - Agricole","Chlorpyrifos","0.48","10.00","4.80","LanaudiÃ¨re","","","",""
"25831","Nufos 4E Insecticide - Agricole","Chlorpyrifos","0.48","20.00","9.60","LanaudiÃ¨re","","","",""
"26277","Herbicide Converge 480","Atrazine","0.48","292.60","140.45","MontÃ©rÃ©gie","","","",""
"26277","Herbicide Converge 480","Atrazine","0.48","51.00","24.48","Mauricie","","","",""
"26277","Herbicide Converge 480","Atrazine","0.48","26.60","12.77","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","96.00","57.60","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","54.00","32.40","LanaudiÃ¨re","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","3.00","1.80","LanaudiÃ¨re","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","12.00","7.20","LanaudiÃ¨re","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","12.00","7.20","GaspÃ©sie--Ãles-de-la-Madeleine","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","81.00","48.60","Saguenay--Lac-Saint-Jean ","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","36.00","21.60","Outaouais","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","4.00","2.40","Outaouais","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","54.00","32.40","Outaouais","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","96.00","57.60","LanaudiÃ¨re","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","129.00","77.40","Mauricie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","60.00","36.00","Saguenay--Lac-Saint-Jean","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","72.00","43.20","Saguenay--Lac-Saint-Jean","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","8.00","4.80","Saguenay--Lac-Saint-Jean","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","39.00","23.40","Centre-du-QuÃ©bec","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","18.00","10.80","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","2.00","1.20","Saguenay--Lac-Saint-Jean","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","4.00","2.40","Saguenay--Lac-Saint-Jean","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","4.00","2.40","Saguenay--Lac-Saint-Jean","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","28.00","16.80","Saguenay--Lac-Saint-Jean","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","27.00","16.20","Outaouais","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","6.00","3.60","Bas-Saint-Laurent","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","9.00","5.40","Bas-Saint-Laurent","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","30.00","18.00","Bas-Saint-Laurent","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","3.00","1.80","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","6.00","3.60","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","15.00","9.00","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","15.00","9.00","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","32.00","19.20","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","6.00","3.60","Laurentides","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","12.00","7.20","Centre-du-QuÃ©bec","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","90.00","54.00","Centre-du-QuÃ©bec","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","78.00","46.80","Capitale-Nationale","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","10.00","6.00","Capitale-Nationale","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","12.00","7.20","Capitale-Nationale","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","60.00","36.00","Capitale-Nationale","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","198.00","118.80","Capitale-Nationale","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","6.00","3.60","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","15.00","9.00","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","18.00","10.80","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","36.00","21.60","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","84.00","50.40","Centre-du-QuÃ©bec","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","20.00","12.00","Capitale-Nationale","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","21.00","12.60","Capitale-Nationale","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","36.00","21.60","Capitale-Nationale","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","60.00","36.00","Bas-Saint-Laurent","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","18.00","10.80","Saguenay--Lac-Saint-Jean","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","105.00","63.00","Saguenay--Lac-Saint-Jean","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","18.00","10.80","Bas-Saint-Laurent","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","22.00","13.20","Capitale-Nationale","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","45.00","27.00","Capitale-Nationale","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","62.00","37.20","Saguenay--Lac-Saint-Jean","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","9.00","5.40","Centre-du-QuÃ©bec","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","27.00","16.20","Centre-du-QuÃ©bec","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","6.00","3.60","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","9.00","5.40","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","24.00","14.40","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","30.00","18.00","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","6.00","3.60","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","6.00","3.60","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","6.00","3.60","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","3.00","1.80","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","12.00","7.20","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","27.00","16.20","MontÃ©rÃ©gie","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","6.00","3.60","LanaudiÃ¨re","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","50.00","30.00","LanaudiÃ¨re","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","9.00","5.40","LanaudiÃ¨re","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","18.00","10.80","LanaudiÃ¨re","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","54.00","32.40","LanaudiÃ¨re","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","12.00","7.20","LanaudiÃ¨re","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","72.00","43.20","LanaudiÃ¨re","","","",""
"27449","Insecticide Titan","Clothianidine","0.60","195.00","117.00","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","40.00","19.20","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","90.00","43.20","Inconnu","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","Abitibi-TÃ©miscamingue ","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","50.00","24.00","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","190.00","91.20","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","46.00","22.08","ChaudiÃ¨re-Appalaches","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","Centre-du-QuÃ©bec","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","Centre-du-QuÃ©bec","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","90.00","43.20","Saguenay--Lac-Saint-Jean","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","20.00","9.60","Saguenay--Lac-Saint-Jean","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","40.00","19.20","Saguenay--Lac-Saint-Jean","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","Capitale-Nationale","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","20.00","9.60","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","100.00","48.00","Saguenay--Lac-Saint-Jean","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","20.00","9.60","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","20.00","9.60","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","20.00","9.60","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","20.00","9.60","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","20.00","9.60","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","20.00","9.60","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","20.00","9.60","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","20.00","9.60","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","20.00","9.60","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","20.00","9.60","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","30.00","14.40","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","30.00","14.40","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","30.00","14.40","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","40.00","19.20","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","40.00","19.20","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","50.00","24.00","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","50.00","24.00","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","20.00","9.60","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","40.00","19.20","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","30.00","14.40","Capitale-Nationale","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","260.00","124.80","MontÃ©rÃ©gie","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","50.00","24.00","Capitale-Nationale","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","20.00","9.60","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","100.00","48.00","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","LanaudiÃ¨re","","","",""
"27479","Citadel 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","12.24","2.94","Saguenay--Lac-Saint-Jean","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","10.20","2.45","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","18.36","4.41","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","22.44","5.39","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","26.52","6.36","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","32.64","7.83","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","38.76","9.30","Inconnu","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","14.28","3.43","Inconnu","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","36.72","8.81","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","10.20","2.45","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","44.88","10.77","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","10.20","2.45","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","38.76","9.30","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","40.80","9.79","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","16.32","3.92","Laval","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","16.32","3.92","Laval","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","18.36","4.41","Laval","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","18.36","4.41","Laval","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","20.40","4.90","Laval","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","20.40","4.90","Laval","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","20.40","4.90","Laval","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","6.12","1.47","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","30.60","7.34","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","65.28","15.67","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","12.24","2.94","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","73.44","17.63","Saguenay--Lac-Saint-Jean","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","14.28","3.43","Laurentides","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","44.88","10.77","Mauricie","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","73.44","17.63","Mauricie","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","4.08","0.98","Saguenay--Lac-Saint-Jean","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","95.88","23.01","Capitale-Nationale","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","55.08","13.22","Capitale-Nationale","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","14.28","3.43","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","14.28","3.43","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","51.00","12.24","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","122.40","29.38","Bas-Saint-Laurent","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","34.60","8.30","Saguenay--Lac-Saint-Jean","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","14.28","3.43","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","71.40","17.14","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","91.80","22.03","LanaudiÃ¨re ","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","18.36","4.41","MontÃ©rÃ©gie","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","10.20","2.45","MontÃ©rÃ©gie","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","20.40","4.90","MontÃ©rÃ©gie","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","16.32","3.92","Saguenay--Lac-Saint-Jean","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","85.68","20.56","Saguenay--Lac-Saint-Jean","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","65.28","15.67","Saguenay--Lac-Saint-Jean","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","8.16","1.96","LanaudiÃ¨re","","","",""
"28407","Insecticide Actara 240SC","ThiamÃ©thoxame","0.24","24.48","5.88","MontÃ©rÃ©gie","","","",""
